workload,no-interference,ibench-cpu,ibench-l1d,ibench-l1i,ibench-l2,ibench-llc,ibench-membw
dedup,60.277,94.225,80.023,139.417,87.816,142.684,109.534
blackscholes,258.963,368.623,365.171,490.045,358.521,437.605,376.428
ferret,12.802,26.219,13.991,37.211,13.435,36.032,28.178
freqmine,6.484,13.317,9.092,13.501,7.014,12.106,10.924
canneal,15.092,21.019,21.558,25.150,21.641,31.809,22.992
fft,8.919,12.542,12.155,17.085,12.328,16.953,13.444
