#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      311.2   419.3    93.8   170.0   194.7   280.2   312.4   331.1   344.2   362.8   389.4   442.5   652.7  7747.7 13711.6   4919.4     5000  1652365250147  1652365255452
read      330.3   289.8    93.8   159.6   185.1   326.3   366.2   386.2   399.8   418.1   440.9   484.1   614.0  3191.1 11933.8  10057.1    10000  1652365256955  1652365262230
read      338.6   363.0    86.8   153.3   177.3   331.8   383.4   405.1   422.6   441.4   466.9   510.9   664.4  4004.5 14531.0  14957.0    15000  1652365263733  1652365268992
read      349.3   230.2    86.8   155.2   180.7   344.7   404.7   432.3   451.0   470.2   499.2   546.4   701.6  1454.5  6461.1  20000.2    20000  1652365270496  1652365275760
read      344.1   220.8    86.8   150.0   174.0   331.9   402.2   435.1   455.1   476.0   502.5   545.6   689.4  1917.9  7969.5  24814.8    25000  1652365277263  1652365282532
read      339.0   192.0    80.4   147.7   169.9   319.5   393.2   430.5   454.5   480.7   513.3   568.1   729.3  1497.9  6983.8  29979.4    30000  1652365284035  1652365289283
read      335.8   175.1    80.4   146.8   168.2   318.1   388.8   426.3   450.7   476.2   507.3   561.0   710.8  1940.4  5168.9  35029.4    35000  1652365290787  1652365296052
read      355.2   200.2    80.4   149.2   174.4   342.2   411.3   447.6   470.9   497.6   531.0   586.1   761.1  1357.5  7991.2  39926.8    40000  1652365297556  1652365302816
read      347.6   201.9    80.4   148.3   172.3   333.4   401.2   437.9   461.9   488.0   518.7   568.9   716.4  2137.1  7075.4  44952.8    45000  1652365304320  1652365309568
read      334.4   219.7    80.4   145.1   166.3   312.7   383.6   422.9   449.9   478.9   513.6   569.2   705.4  1674.4 10490.0  49954.2    50000  1652365311073  1652365316332
read      338.1   188.4    80.4   146.6   169.6   317.1   386.2   424.1   450.7   480.1   516.1   576.5   743.6  1702.2  6927.5  54978.2    55000  1652365317836  1652365323096
read      333.4   219.7    80.4   144.7   166.1   307.3   379.8   421.7   450.1   480.9   518.7   578.4   747.8  1473.2  8979.0  59800.4    60000  1652365324599  1652365329855
read      330.5   184.8    80.4   140.8   162.2   308.7   379.4   419.5   447.6   477.8   514.2   574.0   739.2  1321.7  5587.5  65130.8    65000  1652365331358  1652365336612
read      324.8   183.3    80.4   140.2   160.5   301.1   369.2   410.3   440.0   471.2   507.6   566.0   723.7  1642.3  6081.8  69926.4    70000  1652365338116  1652365343376
read      315.2   192.9    80.4   139.8   159.2   291.5   356.5   394.8   422.7   454.4   492.3   548.0   707.7  1396.7  6408.5  75099.8    75000  1652365344880  1652365350140
read      308.1   179.8    74.4   138.3   156.8   284.7   346.8   384.9   412.4   444.3   481.5   536.0   686.7  1581.4  6062.3  79999.2    80000  1652365351644  1652365356908
read      305.1   174.6    74.4   135.9   154.4   281.4   345.0   383.2   410.8   442.5   478.8   533.7   686.6  1316.3  5934.5  85084.8    85000  1652365358411  1652365363672
read      306.0   217.6    74.4   135.4   154.1   280.2   342.6   380.5   408.0   441.0   480.4   541.1   703.7  1545.6  8575.4  89959.1    90000  1652365365176  1652365370436
read      305.2   190.4    80.4   138.8   157.5   282.0   343.6   379.5   406.1   438.4   476.7   533.1   675.4  1190.6  5962.8  94979.1    95000  1652365371941  1652365377208
read      295.2   171.2    80.4   137.4   154.8   269.7   329.8   366.0   393.0   425.3   464.8   523.1   665.1  1161.3  6384.4  99923.0   100000  1652365378711  1652365383974
read      293.2   155.4    80.4   138.4   156.1   269.2   325.9   359.9   385.7   417.0   457.6   516.8   663.6  1229.2  4728.9 104917.5   105000  1652365385477  1652365390729
read      295.1   169.1    74.4   138.8   157.2   270.6   325.4   359.3   384.6   415.1   454.9   516.8   694.9  1460.4  6995.9 109950.4   110000  1652365392232  1652365397496
read      287.1   161.5    74.4   138.9   156.6   264.9   318.2   350.2   374.1   403.0   440.0   495.0   638.8  1269.8  5451.7 114992.8   115000  1652365399000  1652365404252
read      297.8   175.6    74.4   141.3   161.1   277.0   330.6   362.1   385.6   413.6   450.6   506.4   678.0  1283.4  7196.7 119812.6   120000  1652365405756  1652365411008
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.38%,73.13%,100.00%
