Random waveform, random seed
Total number of intervals = 600 (62699, 52312, 97181, 65506, 11428, 28887, 93676, 62129, 59421, 50331, 55956, 55536, 39047, 21846, 37453, 28799, 33197, 29317, 98732, 95242, 64622, 67050, 17535, 58453, 27716, 80564, 92698, 57099, 75771, 6569, 61563, 53286, 31013, 11068, 56366, 19159, 83878, 28656, 93264, 60778, 62999, 50623, 16771, 54419, 63679, 82443, 28830, 83092, 16381, 45996, 66008, 85463, 51443, 30337, 39740, 81197, 88016, 30484, 47181, 22223, 92780, 96140, 50929, 31187, 77212, 87754, 83882, 83011, 87418, 39067, 78128, 90157, 92049, 68634, 37673, 14462, 8828, 38998, 55757, 35609, 5164, 15099, 70723, 97275, 17718, 6878, 34332, 20478, 31255, 74333, 57582, 18651, 13056, 31318, 85935, 13364, 68416, 91941, 61338, 73615, 63479, 45513, 19358, 12568, 97731, 90184, 77059, 89416, 89590, 70375, 36037, 73421, 35456, 99596, 77564, 24873, 74177, 99735, 41035, 99243, 37598, 85824, 45584, 66162, 16123, 84528, 20401, 69108, 27298, 74348, 23969, 91586, 83161, 34235, 91798, 29165, 15534, 60103, 25708, 50227, 8512, 40499, 20976, 42455, 14818, 95045, 77330, 76546, 13524, 98524, 22049, 22961, 59076, 62067, 65405, 24560, 37797, 19553, 60658, 38122, 58240, 69482, 48576, 10735, 72207, 45304, 16292, 66737, 85685, 85683, 53019, 92296, 45040, 48940, 49177, 40055, 66938, 47379, 31190, 31797, 66971, 21308, 8138, 28337, 64146, 39521, 14479, 91526, 12391, 64992, 10236, 47096, 15469, 14932, 18954, 65684, 55270, 25445, 95012, 94632, 65712, 54114, 70981, 55442, 73182, 10690, 63424, 75864, 50842, 79994, 16789, 72213, 53776, 84634, 97697, 82161, 49404, 42861, 97816, 98818, 15015, 87773, 24248, 30671, 43040, 59397, 40857, 46716, 6709, 39820, 9894, 86345, 65230, 23795, 7205, 17679, 18216, 19470, 92503, 9790, 51271, 75145, 29489, 37655, 6042, 46938, 28854, 6101, 93216, 11897, 26925, 81428, 73449, 23112, 26461, 76634, 69116, 62037, 44549, 57287, 11286, 8971, 61142, 96577, 76551, 94039, 82607, 44235, 8410, 36830, 8238, 95840, 45802, 34937, 28067, 88158, 41987, 33960, 41943, 67584, 71998, 48774, 8584, 9696, 80548, 19535, 43568, 6820, 14079, 33076, 99914, 11377, 32709, 97564, 30839, 22808, 45014, 90468, 96342, 17547, 75806, 19740, 79641, 58691, 37243, 21873, 10159, 79288, 13208, 14700, 8871, 97686, 92364, 49966, 90227, 39911, 12894, 54321, 38630, 45027, 14136, 26426, 58791, 8103, 12148, 66936, 10708, 84040, 83623, 7640, 13693, 96771, 5491, 6398, 49142, 9384, 60890, 48923, 44958, 96074, 72952, 33184, 6608, 49874, 59994, 87652, 81663, 35143, 63468, 53559, 58765, 58885, 83145, 46275, 97307, 90014, 73645, 88148, 62737, 21557, 19148, 5130, 14885, 82005, 85595, 96598, 46867, 61704, 40773, 61588, 97643, 36813, 9361, 66261, 54119, 58858, 92086, 32298, 36489, 66387, 91211, 52392, 20248, 63442, 99044, 15116, 67873, 85932, 55426, 79330, 57193, 36129, 14180, 11137, 72323, 94940, 18080, 8591, 42831, 76685, 67989, 28979, 10636, 12963, 87711, 22730, 66859, 42618, 95761, 47819, 13860, 53411, 40235, 46172, 69092, 46356, 27951, 28103, 29986, 40635, 27258, 63801, 51696, 94120, 19008, 17054, 49914, 71907, 37737, 60373, 99196, 7133, 42904, 60487, 13249, 39818, 64518, 33694, 25913, 83518, 52510, 90311, 27810, 39892, 70727, 76123, 29341, 31031, 23217, 81150, 63570, 50919, 49684, 94161, 42183, 5414, 43237, 57443, 59814, 9322, 61471, 34067, 28331, 59092, 35707, 32700, 39439, 61115, 32908, 29807, 63726, 23323, 50748, 30871, 78872, 54640, 85401, 63449, 22902, 11311, 59347, 47788, 59252, 64862, 10319, 7673, 91151, 81390, 98463, 43832, 84111, 50598, 63895, 14648, 83092, 20963, 14397, 46589, 53233, 93671, 72658, 33657, 66305, 40870, 79157, 96897, 37718, 20522, 7588, 96917, 82707, 10106, 34924, 82994, 78139, 84193, 94191, 65117, 21764, 85070, 17527, 16736, 24206, 85216, 80575, 84950, 76130, 52457, 64862, 20623, 88490, 13110, 78875, 11855, 75792, 78819, 22785, 34405, 12192, 42410, 27812, 63587, 56119, 41010, 54271, 52533, 98399, 6840, 69346, 33615, 30037, 41358, 19472, 24762, 18918, 30403, 10959, 27237, 92424, 99616, 40532, 6177, 42623, 80929, 53710, 27528, 48706, 99839, 72228, 29736, 7223, 40773, 52948, 40580, 47316, 11909, 38893, 99274, 86838, 83833, 22462, 30205, 97013, 78133, 85807, 42812, 37063, 37676, 69554, 24112, 21967, 76931, 21899, 58552, 83863, 51944, 77124, 30585, 26157, 94819)
Average QPS expected = 50692
Timestamp start: 1653409441583
Timestamp end: 1653411242205

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      444.6   434.4    74.4   142.3   165.3   331.9   441.5   509.3   579.1   683.8   850.3  1153.9  1745.8  4570.4 15089.4  56329.0    56366
read      401.5   506.3    80.4   144.3   166.1   343.6   437.7   503.3   551.1   599.7   664.2   766.4   980.8  6796.0 28773.3  19348.0    19159
read      509.0   928.2    74.4   153.3   180.4   347.1   429.0   483.9   536.6   648.6   901.5  1416.8  2573.4 10446.4 32024.5  83684.0    83878
read      418.8   552.0    80.4   141.2   162.2   333.2   436.9   501.7   556.9   628.6   735.1   895.2  1332.3  6273.0 26659.4  28643.3    28656
read      499.4   917.6    74.4   155.7   185.0   351.2   425.7   477.1   528.0   614.3   791.3  1351.8  2559.1 11060.7 32439.5  93351.0    93264
read      351.0   444.8    74.4   140.1   160.9   314.2   388.0   429.2   456.1   486.7   527.3   594.8   913.5  4022.2 20405.4  60991.7    60778
read      340.9   244.4    80.4   138.3   159.4   310.9   383.9   426.0   454.5   486.2   526.1   592.4   885.6  2841.3  8089.4  63025.3    62999
read      421.4   371.9    80.4   142.2   165.5   338.0   445.0   502.5   558.5   641.0   771.3   980.7  1475.0  3619.9 12565.4  50659.7    50623
read      386.1   429.4    86.8   147.7   169.3   338.5   431.1   485.7   525.9   570.1   626.3   711.8   896.2  6498.4 12848.8  16900.3    16771
read      479.3   664.8    74.4   141.9   164.8   331.0   442.5   522.9   605.5   734.8   928.4  1258.9  2406.5  6917.6 30046.8  54353.3    54419
read      368.6   305.3    80.4   144.9   166.6   327.1   405.9   448.5   479.4   519.9   575.6   683.9  1149.5  3492.3  9384.6  63612.7    63679
read      337.6   262.2    74.4   141.2   162.7   307.5   376.9   416.0   444.1   476.2   519.6   591.8   848.4  2717.3  8565.9  82635.7    82443
read      405.2   474.6    74.4   143.3   164.6   333.2   431.5   489.7   541.9   619.4   716.0   858.8  1174.6  4823.0 17348.6  28953.7    28830
read      453.2   625.2    74.4   148.8   174.3   336.8   416.0   465.4   507.4   578.5   770.7  1170.5  2093.3  8575.7 25525.7  83064.7    83092
read      371.3   486.8    80.4   142.5   162.9   328.4   407.4   454.8   492.3   536.3   590.2   678.2   855.0  5936.4 28305.7  16222.0    16381
read      445.4   453.3    80.4   139.5   162.4   332.4   450.4   532.4   616.0   739.9   906.7  1134.7  1570.5  3748.6 12158.3  45972.7    45996
read      366.5   369.3    74.4   141.2   162.8   316.4   395.2   438.7   469.6   510.2   570.8   702.4  1261.0  3604.0 10991.4  65972.7    66008
read      352.5   456.1    74.4   144.4   165.9   313.4   384.4   424.4   452.7   486.6   534.3   617.4   872.7  4396.7 13903.5  85685.7    85463
read      330.1   229.9    74.4   135.6   155.7   305.1   376.2   417.1   445.6   474.6   508.8   562.7   777.7  2279.9  7460.4  51359.7    51443
read      427.1   466.6    80.4   141.1   162.7   334.3   444.7   512.4   578.6   659.7   767.4   920.8  1474.4  6149.4 12870.2  30318.0    30337
read      465.4   573.4    80.4   144.8   167.1   342.9   464.3   559.2   644.7   749.0   879.3  1089.5  1724.7  6930.6 26885.2  39891.3    39740
read      480.8   787.8    80.4   148.9   174.6   339.4   420.6   470.0   514.5   602.8   840.8  1403.0  2209.8  9118.2 31562.6  81247.3    81197
read      333.3   299.9    74.4   142.4   163.1   302.9   370.9   409.8   437.5   468.3   508.1   580.1   784.4  3517.8 14473.9  87869.0    88016
read      420.0   487.6    80.4   142.2   162.8   333.4   440.0   505.6   569.8   652.0   766.2   928.8  1314.1  4648.7 19242.3  30427.0    30484
read      448.0   419.2    80.4   141.6   164.0   336.1   453.4   533.4   614.3   733.4   895.4  1145.6  1600.3  3839.9 12613.8  47189.3    47181
read      401.8   493.1    80.4   142.1   163.7   339.0   439.8   507.1   551.9   604.3   671.4   785.7   997.4  7041.7 28520.3  22383.0    22223
read      491.9   788.6    80.4   157.2   186.2   341.4   423.9   480.8   528.4   598.2   779.7  1506.8  2184.1  9691.7 31043.9  92490.3    92780
read      342.5   347.0    80.4   148.0   169.9   309.3   376.9   415.8   442.3   471.9   512.7   586.0   802.1  4282.4 10937.3  96021.3    96140
read      337.8   246.5    80.4   139.1   160.4   311.7   384.9   425.1   453.0   484.3   523.3   584.2   827.4  1984.1  7813.7  51062.7    50929
read      416.7   521.1    80.4   141.6   162.8   329.9   433.0   494.6   551.5   629.5   733.9   906.6  1354.6  5569.5 26087.0  31168.7    31187
read      489.9   746.5    80.4   150.2   176.0   351.0   435.2   488.4   535.1   612.6   835.7  1481.0  2389.9  9594.5 31306.4  77105.3    77212
read      337.0   344.3    74.4   141.0   162.4   303.5   372.1   411.3   439.1   470.0   510.4   580.9   807.0  4315.4 12403.4  87852.7    87754
read      333.2   282.6    80.4   141.3   162.2   302.8   372.4   411.0   438.1   469.2   509.8   577.8   803.2  3303.8 11034.1  83811.0    83882
read      349.7   474.3    80.4   143.2   164.3   308.3   377.2   417.2   445.0   476.0   517.0   589.7   920.3  4989.1 17634.8  83034.7    83011
