#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      353.5   412.7   101.3   191.7   219.9   328.6   357.4   373.1   387.7   403.3   429.4   476.8   718.4  8008.9 13188.1   4945.8     5000  1652362613755  1652362619083
read      375.2   300.7    80.4   183.1   214.6   363.5   411.0   434.8   452.9   471.5   499.1   543.0   677.6  4868.6 13128.4   9942.6    10000  1652362620586  1652362625872
read      391.3   260.1    93.8   180.3   212.2   375.4   438.4   469.3   492.1   518.6   557.6   629.9   836.2  2015.6 11630.3  14969.0    15000  1652362627375  1652362632656
read      398.9   242.3    93.8   177.7   209.1   378.2   448.5   485.5   511.2   544.2   589.2   685.3   888.0  1551.2 10071.2  19915.4    20000  1652362634160  1652362639412
read      395.5   226.8    86.8   169.4   199.9   368.7   444.2   486.5   517.5   555.7   609.4   698.5   902.9  2940.0  6108.3  24847.0    25000  1652362640915  1652362646176
read      420.4   314.4    80.4   172.3   201.2   370.9   453.0   501.9   540.2   590.5   691.8   861.1  1170.1  3511.4  8610.1  29963.2    30000  1652362647679  1652362652936
read      415.2   239.7    80.4   164.1   194.0   382.1   466.3   518.1   556.1   600.5   668.0   789.1  1030.7  2519.2  6021.5  35184.4    35000  1652362654439  1652362659683
read      410.5   251.4    86.8   162.9   191.2   367.5   460.0   516.0   562.3   613.6   677.8   788.6  1049.5  1643.8  8134.1  40151.4    40000  1652362661185  1652362666448
read      423.2   289.6    86.8   162.0   190.5   368.0   463.2   519.5   565.2   622.8   709.7   869.7  1265.4  1882.4 10029.3  44711.8    45000  1652362667951  1652362673204
read      404.4   241.0    80.4   159.0   188.2   361.8   454.9   506.8   549.5   601.0   663.5   775.0  1059.1  1601.3  7892.2  50193.1    50000  1652362674707  1652362679949
read      395.2   265.7    80.4   152.2   178.2   337.9   434.4   487.8   531.8   590.3   665.9   819.1  1171.3  1871.4  9573.8  54828.0    55000  1652362681451  1652362686694
read      399.6   256.2    80.4   154.6   181.9   348.7   445.8   496.9   538.6   593.8   664.2   798.0  1162.3  1712.3  6978.5  59990.7    60000  1652362688198  1652362693444
read      379.8   243.3    80.4   147.0   172.7   326.3   416.9   469.4   510.1   561.8   634.9   773.6  1161.3  1718.4  7049.0  64728.8    65000  1652362694948  1652362700198
read      390.1   237.2    74.4   154.9   181.5   338.6   427.5   479.3   520.9   576.3   650.4   788.4  1147.5  1783.7  5104.3  69950.8    70000  1652362701702  1652362706947
read      373.4   255.3    80.4   145.4   169.4   315.6   401.3   454.2   496.1   549.3   630.3   783.9  1233.3  1921.7  5952.5  74947.2    75000  1652362708451  1652362713700
read      376.1   231.8    74.4   153.0   178.9   327.8   411.0   460.6   499.5   548.9   622.5   747.9  1071.1  1701.7  7537.6  79947.2    80000  1652362715203  1652362720451
read      375.5   235.9    74.4   153.3   178.5   325.6   407.7   456.2   494.2   543.0   617.9   754.2  1121.0  1853.7  6126.5  84991.6    85000  1652362721954  1652362727220
read      380.2   247.1    74.4   156.7   182.5   331.7   412.0   460.5   499.4   549.9   622.2   757.8  1108.3  1739.6  9000.2  89821.2    90000  1652362728724  1652362733988
read      407.4   401.7    74.4   159.6   184.7   332.3   414.8   466.8   512.5   575.9   672.4   869.3  1493.6  4255.6 10533.5  95159.9    95000  1652362735492  1652362740756
read      395.2   251.0    74.4   169.5   196.1   341.5   420.0   469.8   512.2   570.2   653.1   807.9  1153.7  1883.4  7357.1  99851.6   100000  1652362742260  1652362747524
read      463.5   333.1    80.4   185.2   211.7   370.5   476.2   550.5   615.1   701.1   837.0  1053.7  1621.6  2575.6  8289.5 104767.2   105000  1652362749027  1652362754281
read      610.3   477.2    80.4   220.0   248.7   419.5   652.1   787.3   905.1  1039.4  1228.8  1532.2  2025.6  3610.1 11752.6 105729.8   110000  1652362755784  1652362761034
read      591.6   460.5    80.4   218.1   244.1   414.4   636.7   761.0   866.3   991.1  1159.0  1480.8  1993.0  3275.3  9707.6 109234.4   115000  1652362762539  1652362767796
read      602.5   477.9    68.9   218.5   245.0   410.1   644.8   786.9   898.9  1025.7  1209.4  1514.7  2019.3  3524.7 11549.6 107848.8   120000  1652362769299  1652362774544
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.15%,55.56%,100.00%
