fft,1653382900.6406746,create,
dedup,1653382900.6763072,create,
ferret,1653382900.7173753,create,
freqmine,1653382900.7547302,create,
canneal,1653382900.7895265,create,
blackscholes,1653382900.821393,create,
fft,1653382901.0482037,start,
ferret,1653382901.322988,start,
ferret,1653382901.366221,update,1-2-3
fft,1653382912.5514739,pause,
ferret,1653382912.607297,update,2-3
fft,1653382932.411926,unpause,
ferret,1653382932.462489,update,1-2-3
fft,1653382942.7905748,pause,
fft,1653382945.8867598,unpause,
fft,1653382946.5797768,pause,
fft,1653382952.1995466,unpause,
fft,1653382962.3789525,pause,
ferret,1653382962.943382,update,2-3
fft,1653382992.3878686,unpause,
ferret,1653382992.4548733,update,1-2-3
fft,1653383012.2635229,pause,
ferret,1653383012.8284602,update,2-3
ferret,1653383032.6806931,update,1-2-3
fft,1653383042.3557334,unpause,
fft,1653383092.5392692,pause,
ferret,1653383093.1112223,update,2-3
ferret,1653383132.2005103,update,1-2-3
fft,1653383132.7692199,unpause,
fft,1653383142.446628,pause,
ferret,1653383142.4871783,update,2-3
ferret,1653383152.1806104,update,1-2-3
fft,1653383152.7261763,unpause,
fft,1653383162.3913467,pause,
ferret,1653383162.9554524,update,2-3
ferret,1653383172.6803713,update,1-2-3
fft,1653383202.623339,unpause,
fft,1653383232.5356407,pause,
ferret,1653383233.1052709,update,2-3
ferret,1653383292.4886885,update,1-2-3
fft,1653383293.0979164,unpause,
fft,1653383294.1567645,pause,
fft,1653383294.725954,unpause,
fft,1653383295.8382065,pause,
fft,1653383297.9102607,unpause,
fft,1653383298.4659731,pause,
fft,1653383299.542629,unpause,
fft,1653383300.0896187,pause,
fft,1653383300.634276,unpause,
fft,1653383301.1724257,pause,
fft,1653383312.3514662,unpause,
fft,1653383323.0382867,pause,
fft,1653383325.098573,unpause,
fft,1653383326.6552274,pause,
fft,1653383327.6986701,unpause,
fft,1653383328.3000908,pause,
fft,1653383328.8430357,unpause,
fft,1653383329.3816907,pause,
fft,1653383329.938261,unpause,
fft,1653383330.6461182,pause,
ferret,1653383332.2266436,update,2-3
ferret,1653383342.4363017,update,1-2-3
fft,1653383351.2066395,unpause,
fft,1653383351.7956133,pause,
fft,1653383352.346743,unpause,
fft,1653383362.5213726,pause,
ferret,1653383362.7026865,update,2-3
fft,1653383372.3674655,unpause,
ferret,1653383372.4186435,update,1-2-3
fft,1653383382.5871317,pause,
fft,1653383392.7712934,unpause,
fft,1653383394.3592706,pause,
fft,1653383394.905944,unpause,
fft,1653383422.3747,pause,
ferret,1653383422.9309077,update,2-3
ferret,1653383441.1996284,exit,
freqmine,1653383441.4919765,start,
canneal,1653383441.8103378,start,
freqmine,1653383441.8554149,update,2-3
canneal,1653383441.8784373,update,2
fft,1653383442.422927,unpause,
freqmine,1653383442.4663036,update,1-2-3
canneal,1653383442.4929814,update,2-3
fft,1653383452.2321002,pause,
freqmine,1653383452.798778,update,2-3
canneal,1653383452.8434243,update,2
freqmine,1653383463.6626046,update,1-2-3
canneal,1653383463.706738,update,2-3
freqmine,1653383472.4231696,update,2-3
canneal,1653383472.4672203,update,2
fft,1653383482.702635,unpause,
freqmine,1653383482.773029,update,1-2-3
canneal,1653383482.8266253,update,2-3
fft,1653383492.5390024,pause,
freqmine,1653383492.6030536,update,2-3
canneal,1653383492.6433837,update,2
fft,1653383512.5550873,unpause,
freqmine,1653383512.6106555,update,1-2-3
canneal,1653383512.668818,update,2-3
fft,1653383522.3958805,pause,
freqmine,1653383522.4828439,update,2-3
canneal,1653383522.5191681,update,2
