ubuntu@client-measure-38j0:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.44 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (93033, 83338, 73337, 48277, 8810, 6621, 79850, 63136, 78326, 95470, 90283, 35231, 26411, 84688, 58242, 93555, 16981, 56139, 96592, 33151, 18440, 77805, 78472, 76224, 16651, 22303, 9362, 80676, 78310, 28075, 26415, 59963, 53656, 75984, 74978, 71271, 98709, 95580, 46280, 86952, 94862, 39777, 39023, 7531, 81175, 99083, 8223, 31855, 86511, 7455, 46844, 54542, 51870, 78139, 85169, 66556, 75547, 41490, 39790, 64403, 89849, 57398, 77252, 9490, 41079, 75531, 57920, 7212, 39161, 40641, 33929, 89109, 52208, 53358, 93933, 92382, 65408, 75191, 44037, 14272, 39826, 17699, 60691, 22278, 76403, 76170, 63917, 99833, 78791, 27333, 8529, 35334, 46811, 84440, 64800, 19369, 13281, 12260, 46783, 82008, 38136, 6565, 87407, 54487, 66256, 73579, 23629, 67733, 97656, 66502, 21517, 17103, 20652, 96810, 88816, 80558, 88952, 76411, 32634, 78647, 72742, 14576, 22504, 69897, 83514, 73036, 19473, 54572, 77156, 99621, 30063, 94128, 46033, 15324, 44734, 39572, 14842, 20629, 95625, 33481, 54887, 41304, 47541, 98244, 67616, 31298, 37651, 26110, 56017, 35809, 44588, 53954, 51549, 89191, 14770, 53596, 14673, 38491, 89969, 68028, 32055, 37193, 28379, 94935, 22842, 45661, 36908, 85438, 27437, 42518, 33624, 95444, 37788, 47233, 41812, 38280, 54616, 49483, 53270, 36048)
Average QPS expected = 54139
Timestamp start: 1652880407576
Timestamp end: 1652882207993

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      480.9   687.8    93.8   171.4   195.2   380.8   507.3   571.1   614.6   670.5   769.3  1042.1  1530.5  9565.2 30988.2  26401.8    26415
read      442.7   439.8    93.8   170.6   193.3   334.8   426.3   487.2   534.8   595.7   701.7  1142.5  2120.5  3625.1 12507.1  59834.8    59963
read      447.5   456.7    93.8   169.1   191.9   338.7   437.3   505.0   555.9   618.9   722.4  1137.5  2035.2  3794.6 12537.2  53770.2    53656
read      456.5   430.4    93.8   181.3   207.0   352.7   438.0   495.4   539.9   605.3   733.0  1138.9  2176.5  3672.3 11412.8  75933.8    75984
read      459.8   470.9    86.8   177.9   203.4   349.6   434.9   493.7   540.0   608.4   743.0  1171.0  2259.2  3767.3 13737.1  74846.1    74978
read      444.9   432.9    93.8   176.6   200.3   341.5   427.7   486.5   530.8   590.8   705.5  1102.9  2134.2  3713.1 11698.0  71306.0    71271
read      737.1   452.4    93.8   199.6   252.1   702.5   844.5   926.9   993.3  1075.5  1187.2  1375.2  1835.6  4156.3 13640.1  98671.3    98709
read      739.4   423.5    93.8   208.6   271.8   708.9   846.8   927.5   990.8  1070.1  1177.9  1363.7  1797.7  2931.8 13320.8  95513.2    95580
read      491.6   433.6    93.8   175.8   200.4   383.6   508.6   585.6   647.3   735.3   886.5  1187.1  1869.4  3764.3 13575.2  46342.1    46280
read      643.2   532.5   101.3   205.5   243.0   543.9   703.3   798.2   871.0   965.3  1098.6  1350.7  2193.7  5576.9 16086.1  87055.4    86952
read      714.6   428.2    93.8   205.2   263.0   678.0   815.1   897.9   961.3  1042.7  1153.8  1334.4  1767.6  3798.2 12782.9  94749.9    94862
read      457.2   421.6    93.8   169.1   191.4   351.3   466.4   537.8   588.2   654.2   765.6  1180.5  1780.7  4089.2 12587.4  39805.8    39777
