freqmine,1652880413.8877325,create,
fft,1652880413.9251223,create,
canneal,1652880413.960203,create,
ferret,1652880414.000377,create,
blackscholes,1652880414.038271,create,
dedup,1652880414.0750546,create,
ferret,1652880414.3676443,start,
ferret,1652880982.9185376,exit,
canneal,1652880983.1832142,start,
canneal,1652881244.4212255,exit,
freqmine,1652881244.659102,start,
freqmine,1652881635.5370114,exit,
blackscholes,1652881635.7735345,start,
blackscholes,1652881838.9964879,exit,
fft,1652881839.3045542,start,
fft,1652881965.922296,exit,
dedup,1652881966.1862838,start,
dedup,1652882017.0963788,exit,
