fft,1653389477.8814666,create,
dedup,1653389477.9131348,create,
ferret,1653389477.9433312,create,
freqmine,1653389477.974934,create,
canneal,1653389478.0045476,create,
blackscholes,1653389478.0349627,create,
fft,1653389478.2786605,start,
ferret,1653389478.5553377,start,
ferret,1653389478.5987198,update,1-2-3
fft,1653389489.7795568,pause,
ferret,1653389499.5067346,update,2-3
fft,1653389509.6902428,unpause,
ferret,1653389509.7369373,update,1-2-3
fft,1653389519.5367236,pause,
fft,1653389520.0959835,unpause,
fft,1653389521.1898367,pause,
fft,1653389522.746848,unpause,
fft,1653389523.4226668,pause,
fft,1653389524.5029347,unpause,
fft,1653389525.13932,pause,
fft,1653389525.6868305,unpause,
fft,1653389526.8041377,pause,
fft,1653389527.866146,unpause,
fft,1653389529.031496,pause,
fft,1653389529.5748618,unpause,
fft,1653389539.303565,pause,
ferret,1653389539.8875659,update,2-3
ferret,1653389549.6165903,update,1-2-3
fft,1653389569.4275541,unpause,
fft,1653389589.7396622,pause,
ferret,1653389590.466963,update,2-3
ferret,1653389609.8088303,update,1-2-3
fft,1653389619.495076,unpause,
fft,1653389669.8283422,pause,
ferret,1653389670.4233098,update,2-3
ferret,1653389680.6366525,update,1-2-3
ferret,1653389689.303482,update,2-3
fft,1653389709.634833,unpause,
ferret,1653389709.6808405,update,1-2-3
fft,1653389719.348377,pause,
fft,1653389729.5570128,unpause,
fft,1653389739.7276266,pause,
ferret,1653389740.2987144,update,2-3
ferret,1653389749.4928887,update,1-2-3
fft,1653389779.4312518,unpause,
fft,1653389809.452749,pause,
ferret,1653389810.1764643,update,2-3
ferret,1653389869.572517,update,1-2-3
fft,1653389870.1181204,unpause,
fft,1653389879.9358747,pause,
fft,1653389880.4787455,unpause,
fft,1653389881.61274,pause,
fft,1653389882.1542413,unpause,
fft,1653389883.2793484,pause,
fft,1653389883.8786416,unpause,
fft,1653389885.998673,pause,
fft,1653389886.560262,unpause,
fft,1653389899.7748642,pause,
fft,1653389900.3476963,unpause,
fft,1653389909.0337973,pause,
ferret,1653389909.5849433,update,2-3
ferret,1653389919.804369,update,1-2-3
fft,1653389920.3509684,unpause,
fft,1653389928.4961805,pause,
fft,1653389929.0520227,unpause,
fft,1653389939.7316737,pause,
fft,1653389949.410977,unpause,
fft,1653389959.5788882,pause,
fft,1653389969.2497268,unpause,
fft,1653389999.6884797,pause,
ferret,1653390000.2470043,update,2-3
ferret,1653390019.0884647,update,1-2-3
fft,1653390019.6380277,unpause,
fft,1653390029.5173104,pause,
ferret,1653390030.1490722,update,2-3
ferret,1653390038.3028245,exit,
freqmine,1653390038.6678596,start,
canneal,1653390039.008992,start,
freqmine,1653390039.051754,update,2-3
canneal,1653390039.09109,update,2
freqmine,1653390040.1553743,update,1-2-3
canneal,1653390040.2027788,update,2-3
freqmine,1653390049.442763,update,2-3
canneal,1653390049.4828575,update,2
freqmine,1653390059.2443855,update,1-2-3
canneal,1653390059.297126,update,2-3
fft,1653390059.8634255,unpause,
fft,1653390069.6463847,pause,
freqmine,1653390069.7265718,update,2-3
canneal,1653390069.75298,update,2
fft,1653390089.7144606,unpause,
freqmine,1653390089.7588348,update,1-2-3
canneal,1653390089.8324828,update,2-3
fft,1653390099.5584486,pause,
freqmine,1653390099.629672,update,2-3
canneal,1653390099.6806502,update,2
freqmine,1653390109.4403772,update,1-2-3
canneal,1653390109.498548,update,2-3
freqmine,1653390129.5149853,update,2-3
canneal,1653390129.5529237,update,2
freqmine,1653390139.3165598,update,1-2-3
canneal,1653390139.3728564,update,2-3
fft,1653390139.9197152,unpause,
fft,1653390149.7231815,pause,
freqmine,1653390149.7952943,update,2-3
canneal,1653390149.8472848,update,2
fft,1653390169.2886946,unpause,
freqmine,1653390169.3364244,update,1-2-3
canneal,1653390169.3791258,update,2-3
fft,1653390171.4205701,exit,
freqmine,1653390199.8696644,update,2-3
canneal,1653390199.9270687,update,2
freqmine,1653390209.6503253,update,1-2-3
canneal,1653390209.707176,update,2-3
freqmine,1653390259.4573736,update,2-3
canneal,1653390259.5028987,update,2
freqmine,1653390269.718696,update,1-2-3
canneal,1653390269.7665467,update,2-3
freqmine,1653390279.4506226,update,2-3
canneal,1653390279.495192,update,2
freqmine,1653390289.7128966,update,1-2-3
canneal,1653390289.760404,update,2-3
freqmine,1653390299.4510252,update,2-3
canneal,1653390299.4949446,update,2
freqmine,1653390319.8524785,update,1-2-3
canneal,1653390319.912521,update,2-3
freqmine,1653390339.2663202,update,2-3
canneal,1653390339.3307407,update,2
freqmine,1653390349.5523365,update,1-2-3
canneal,1653390349.6266387,update,2-3
freqmine,1653390359.4754002,update,2-3
canneal,1653390359.5148838,update,2
freqmine,1653390369.7364824,update,1-2-3
canneal,1653390369.7770972,update,2-3
freqmine,1653390379.4747968,update,2-3
canneal,1653390379.5114498,update,2
freqmine,1653390439.4084556,update,1-2-3
canneal,1653390439.4608934,update,2-3
freqmine,1653390480.0683303,update,2-3
canneal,1653390480.093074,update,2
freqmine,1653390499.4203966,update,1-2-3
canneal,1653390499.4445338,update,2-3
canneal,1653390533.9882977,exit,
freqmine,1653390539.5788183,update,2-3
freqmine,1653390549.7447596,update,1-2-3
freqmine,1653390551.264276,exit,
blackscholes,1653390551.5065677,start,
dedup,1653390551.7939548,start,
blackscholes,1653390551.8386567,update,1-2-3
blackscholes,1653390569.1318386,update,2-3
blackscholes,1653390579.356335,update,1-2-3
blackscholes,1653390639.7228074,update,2-3
dedup,1653390649.4301574,exit,
blackscholes,1653390659.5706608,update,1-2-3
blackscholes,1653390679.4917264,update,2-3
blackscholes,1653390691.154414,update,1-2-3
blackscholes,1653390729.5225692,update,2-3
blackscholes,1653390739.6701117,update,1-2-3
blackscholes,1653390744.2123883,exit,
