cat ~/1251latency.txt
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653389478553
Timestamp end: 1653391278960

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      333.2   439.9   101.3   162.5   184.6   304.9   357.2   384.6   402.8   426.5   456.8   503.5   644.7  5063.4 20207.2   7190.1     7187
read      376.9   695.3    86.8   144.6   163.0   290.6   356.1   396.5   428.7   469.5   533.6   682.3  1703.3 10335.9 31426.7  99288.8    99387
read      304.6   320.3    86.8   138.4   153.9   267.5   327.3   363.8   391.7   425.7   469.9   545.5   792.2  2982.9 11943.1  92026.5    91970
read      313.4   338.2    86.8   137.8   153.4   273.4   336.6   374.1   402.4   437.7   486.1   565.5   825.3  3622.6 13224.7  79640.1    79658
read      323.9   361.0    86.8   138.5   154.8   281.2   348.1   388.2   418.5   456.1   506.3   592.5   871.8  3831.0 14126.8  59222.5    59230
read      312.5   321.7    80.4   138.3   153.9   274.0   337.8   375.0   403.0   438.3   486.4   565.5   836.9  3317.1 10988.8  78029.0    78081
read      321.7   340.9    86.8   139.2   155.4   281.7   347.1   386.2   415.6   453.0   503.6   589.4   872.9  3475.9 15195.2  64325.9    64242
read      414.2   470.4    86.8   141.7   158.0   302.4   419.7   508.8   598.3   708.8   831.0   995.6  1340.4  5573.1 13605.2  37665.7    37702
read      459.9   764.3    86.8   143.4   160.8   309.4   431.7   529.6   631.3   761.1   912.0  1101.6  1641.8 10326.6 31599.4  40649.5    40686
read      412.1   301.6    86.8   143.3   160.0   322.4   454.5   548.5   626.8   708.7   801.4   939.8  1215.7  1881.9  6920.7  30330.5    30376
read      432.2   492.8    86.8   142.9   159.5   309.9   434.7   534.9   633.2   750.8   881.5  1066.9  1460.5  4361.6 15051.7  38382.4    38416
