#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      301.6   312.3    86.8   171.0   190.1   274.4   306.1   324.2   338.3   356.4   383.6   434.8   661.3  4918.0 10467.2   4955.6     5000  1651956549582  1651956554902
read      335.9   300.9    80.4   166.7   189.3   318.9   370.6   397.7   416.9   437.6   467.2   514.1   650.7  4266.0 12925.0   9964.6    10000  1651956556406  1651956561664
read      352.7   244.3    86.8   162.3   187.3   336.7   399.2   433.2   456.7   482.8   514.7   572.6   703.8  2396.8 12056.8  14978.8    15000  1651956563167  1651956568446
read      364.6   208.1    80.4   162.9   188.1   344.1   417.6   456.7   483.1   513.1   550.5   612.1   748.7  1733.7  8052.7  20006.6    20000  1651956569950  1651956575214
read      386.0   215.2    86.8   163.2   191.0   366.1   443.9   486.1   514.8   549.7   595.5   662.8   804.4  1188.5  6784.1  25001.0    25000  1651956576718  1651956581971
read      393.4   216.0    86.8   166.2   195.0   376.2   451.8   492.0   521.3   556.4   600.5   668.5   812.7  1150.1  7779.6  29964.4    30000  1651956583474  1651956588734
read      390.1   256.5    74.4   161.0   188.1   365.0   444.3   487.9   519.9   557.4   604.4   676.3   837.6  3540.9 10661.3  35030.2    35000  1651956590239  1651956595491
read      398.7   216.5    80.4   161.3   189.9   379.6   458.3   500.3   532.1   570.8   621.1   696.2   867.0  1419.2  7172.6  39909.0    40000  1651956596994  1651956602241
read      399.8   235.5    80.4   161.7   190.8   379.1   458.7   501.4   533.1   570.4   617.5   689.3   865.5  1966.5  8586.9  44997.7    45000  1651956603744  1651956609003
read      394.9   230.5    80.4   160.3   187.3   373.0   450.2   494.2   527.4   567.1   618.4   699.2   881.2  1370.5  9394.9  49963.4    50000  1651956610507  1651956615770
read      394.6   212.7    80.4   161.9   191.9   377.4   453.4   493.3   524.1   562.1   609.8   681.7   852.9  1261.5  7172.6  55121.0    55000  1651956617274  1651956622534
read      385.7   223.9    80.4   155.9   182.2   361.4   440.7   485.9   519.1   559.9   612.5   689.0   865.4  1246.2  8408.5  59863.4    60000  1651956624038  1651956629291
read      378.2   259.0    74.4   149.9   175.0   352.1   433.2   478.7   511.1   551.2   604.2   682.5   860.2  1240.6  7147.2  64968.8    65000  1651956630794  1651956636043
read      372.0   216.1    74.4   154.9   180.6   344.3   421.6   465.7   499.4   540.1   591.3   668.0   839.5  1277.0  8257.2  69648.6    70000  1651956637546  1651956642795
read      376.3   218.1    80.4   154.7   182.6   351.9   429.0   471.8   503.8   543.7   595.3   673.2   847.2  1182.0  7804.1  74890.8    75000  1651956644300  1651956649543
read      376.3   215.8    74.4   160.2   187.9   350.3   425.0   469.8   503.2   541.1   591.8   668.8   837.3  1190.1  8561.1  80112.0    80000  1651956651046  1651956656290
read      375.5   214.1    74.4   158.0   186.0   346.6   421.6   465.1   499.3   539.6   591.9   677.6   860.3  1246.4  7295.3  85178.6    85000  1651956657795  1651956663054
read      374.3   208.8    74.4   159.3   187.6   346.0   417.7   461.7   496.0   538.4   593.6   678.9   855.0  1197.3  7534.1  90076.8    90000  1651956664558  1651956669818
read      395.7   224.3    74.4   178.5   210.3   370.2   440.4   482.8   514.5   552.7   605.5   687.2   870.8  1422.8  8495.4  94870.6    95000  1651956671322  1651956676587
read      405.6   219.2    74.4   185.1   217.4   378.1   447.6   492.3   526.7   569.5   626.2   717.3   902.2  1227.2  7262.6  99842.6   100000  1651956678090  1651956683339
read      443.0   247.1    86.8   213.5   248.9   415.5   483.6   524.2   554.2   595.5   658.3   771.5  1002.3  1432.9 10468.9 104841.4   105000  1651956684842  1651956690103
read      532.7   235.3    86.8   289.2   333.1   501.0   568.4   613.8   651.2   703.1   775.0   889.3  1081.7  1400.0  9022.3 109380.8   110000  1651956691606  1651956696855
read      560.4   273.3    93.8   305.2   351.1   518.3   589.8   644.6   694.9   759.0   840.1   951.6  1128.4  1459.3 10417.5 110790.8   115000  1651956698359  1651956703603
read      595.4   293.8    93.8   331.9   377.8   544.4   623.6   685.2   743.2   814.3   898.5  1009.4  1187.0  1576.1 12465.2 108361.2   120000  1651956705107  1651956710360
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.82%,51.78%,100.00%
