#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      292.5   353.8    93.8   168.2   186.4   264.5   295.1   313.5   327.3   344.4   371.0   424.7   597.4  5514.2 13472.3   4922.8     5000  1651956740032  1651956745338
read      334.4   219.7    93.8   169.1   192.4   320.2   371.7   398.5   417.7   438.7   466.4   514.2   648.8  3830.4  8804.6   9959.4    10000  1651956746842  1651956752126
read      357.9   259.9    86.8   168.4   192.7   339.9   404.4   437.1   459.1   484.5   516.8   572.1   713.9  3001.6 11645.5  14955.6    15000  1651956753630  1651956758898
read      383.1   235.2    80.4   170.6   198.5   369.1   437.5   471.9   495.7   523.7   561.2   621.0   782.6  2883.6 10441.1  19871.6    20000  1651956760402  1651956765666
read      394.3   234.7    80.4   167.9   196.9   381.2   454.0   491.2   517.0   547.4   588.3   648.0   816.9  1948.4 10127.4  24992.2    25000  1651956767169  1651956772420
read      395.2   218.6    86.8   164.4   192.3   376.9   452.5   492.9   523.0   558.7   603.4   671.5   859.6  2455.1  6217.0  30081.4    30000  1651956773924  1651956779184
read      402.1   223.3    80.4   165.4   193.7   384.8   464.1   505.4   536.6   573.1   617.9   684.8   864.6  1497.6  7788.4  34980.8    35000  1651956780688  1651956785930
read      399.0   280.0    86.8   162.8   190.3   379.5   460.3   501.6   532.3   568.3   613.5   680.7   856.1  2183.6 10254.6  39995.9    40000  1651956787434  1651956792683
read      398.9   233.7    80.4   161.8   190.5   379.1   461.0   504.4   536.5   574.1   620.0   686.3   853.5  1366.3  8677.7  45037.2    45000  1651956794188  1651956799432
read      401.9   204.8    80.4   164.2   194.3   383.1   464.2   507.1   538.5   576.2   622.9   688.8   852.1  1523.6  5939.6  49936.8    50000  1651956800936  1651956806184
read      386.4   194.9    80.4   155.7   182.4   364.2   446.0   491.7   525.1   564.2   613.3   684.7   865.7  1187.6  5839.5  55163.4    55000  1651956807688  1651956812951
read      383.1   267.4    74.4   153.1   178.7   354.2   434.7   481.8   516.4   557.4   610.8   689.8   869.5  1491.0 10407.2  59744.0    60000  1651956814454  1651956819711
read      379.5   223.3    80.4   154.0   180.0   350.7   431.8   478.2   513.4   555.8   609.8   687.7   867.2  1273.8  8828.1  65140.4    65000  1651956821214  1651956826458
read      375.5   197.0    74.4   156.4   183.6   350.2   428.0   470.9   504.7   543.6   593.6   670.5   845.8  1237.1  6161.9  69755.0    70000  1651956827962  1651956833231
read      376.6   249.9    74.4   152.8   178.8   345.5   425.9   471.3   506.9   548.5   604.9   688.8   865.7  1263.8  8702.6  75077.4    75000  1651956834735  1651956839990
read      371.4   207.8    68.9   152.3   178.2   344.4   421.4   465.4   499.1   540.3   593.5   674.6   847.2  1244.4  6249.8  79948.8    80000  1651956841495  1651956846762
read      365.7   190.3    74.4   158.3   185.5   343.1   412.6   453.1   483.1   521.2   571.8   644.5   801.8  1179.5  5661.2  85251.8    85000  1651956848266  1651956853511
read      387.0   210.1    74.4   165.2   194.8   360.2   432.8   474.3   506.4   546.3   599.8   684.9   938.0  1497.9  7316.1  89944.6    90000  1651956855015  1651956860262
read      379.6   192.9    80.4   169.1   198.5   356.0   425.3   465.2   496.2   534.2   585.5   664.4   838.3  1283.2  6602.2  95086.0    95000  1651956861767  1651956867034
read      395.7   209.7    68.9   186.2   218.1   375.2   440.7   478.0   506.3   542.4   590.3   669.9   844.2  1177.6  8742.5 100056.2   100000  1651956868538  1651956873791
read      441.4   222.3    86.8   217.2   251.0   418.6   486.6   527.4   557.9   595.8   650.6   740.6   931.3  1332.7  8660.7 105175.2   105000  1651956875295  1651956880567
read      504.4   241.1    86.8   258.2   299.8   477.0   549.5   596.3   634.3   681.4   741.1   833.6  1009.5  1441.1 10373.8 109579.6   110000  1651956882070  1651956887314
read      531.4   219.6   101.3   295.0   339.4   501.5   563.1   603.7   638.7   687.8   760.9   890.1  1091.0  1365.0  8022.3 113304.3   115000  1651956888819  1651956894067
read      559.1   254.9   101.3   310.9   356.1   519.3   580.4   627.8   673.2   738.1   837.7   966.0  1135.6  1534.2  9922.0 113946.7   120000  1651956895572  1651956900826
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.56%,51.26%,100.00%
