fft,1653385219.5038466,create,
dedup,1653385219.5329363,create,
ferret,1653385219.5613906,create,
freqmine,1653385219.592485,create,
canneal,1653385219.623276,create,
blackscholes,1653385219.6548226,create,
fft,1653385219.8809588,start,
ferret,1653385220.1186829,start,
ferret,1653385220.1580863,update,1-2-3
fft,1653385231.323039,pause,
ferret,1653385241.0745769,update,2-3
fft,1653385251.2909303,unpause,
ferret,1653385251.3544981,update,1-2-3
fft,1653385262.5523827,pause,
fft,1653385263.1989465,unpause,
fft,1653385265.2558417,pause,
fft,1653385266.8151896,unpause,
fft,1653385267.862749,pause,
fft,1653385268.4299738,unpause,
fft,1653385281.1428797,pause,
ferret,1653385281.2209113,update,2-3
ferret,1653385291.5008235,update,1-2-3
fft,1653385311.344144,unpause,
fft,1653385331.288544,pause,
ferret,1653385331.3835475,update,2-3
ferret,1653385351.332732,update,1-2-3
fft,1653385361.0193448,unpause,
fft,1653385411.4109995,pause,
ferret,1653385411.5707204,update,2-3
ferret,1653385423.8489735,update,1-2-3
ferret,1653385431.0276248,update,2-3
ferret,1653385450.9321718,update,1-2-3
fft,1653385451.4632583,unpause,
fft,1653385461.1559038,pause,
ferret,1653385466.293586,update,2-3
fft,1653385470.9083803,unpause,
ferret,1653385470.9645298,update,1-2-3
fft,1653385481.3071072,pause,
ferret,1653385481.8951223,update,2-3
ferret,1653385491.6504846,update,1-2-3
fft,1653385521.1433237,unpause,
fft,1653385551.21581,pause,
ferret,1653385551.7713356,update,2-3
ferret,1653385611.3808146,update,1-2-3
fft,1653385611.9183726,unpause,
fft,1653385616.027258,pause,
fft,1653385616.5755374,unpause,
fft,1653385621.6827233,pause,
fft,1653385622.8807507,unpause,
fft,1653385623.55443,pause,
fft,1653385624.1027598,unpause,
fft,1653385625.6617188,pause,
fft,1653385626.7273676,unpause,
fft,1653385628.7912607,pause,
fft,1653385629.3224494,unpause,
fft,1653385630.3760538,pause,
fft,1653385630.9874609,unpause,
fft,1653385647.2676961,pause,
fft,1653385647.8284838,unpause,
fft,1653385650.0160358,pause,
ferret,1653385651.0754173,update,2-3
ferret,1653385661.329018,update,1-2-3
fft,1653385661.903039,unpause,
fft,1653385670.7117667,pause,
fft,1653385671.2708147,unpause,
fft,1653385681.4394429,pause,
ferret,1653385684.5428505,update,2-3
ferret,1653385688.1726463,update,1-2-3
fft,1653385691.2473705,unpause,
fft,1653385701.4399538,pause,
fft,1653385711.1225128,unpause,
fft,1653385712.6794257,pause,
fft,1653385713.2197287,unpause,
fft,1653385741.2009048,pause,
ferret,1653385741.771236,update,2-3
fft,1653385761.147028,unpause,
ferret,1653385761.1941698,update,1-2-3
fft,1653385771.4025118,pause,
ferret,1653385771.9927003,update,2-3
ferret,1653385774.064363,exit,
freqmine,1653385774.4553878,start,
canneal,1653385774.882359,start,
freqmine,1653385774.943889,update,2-3
canneal,1653385775.0040731,update,2
freqmine,1653385781.2755651,update,1-2-3
canneal,1653385781.3193088,update,2-3
freqmine,1653385791.0954235,update,2-3
canneal,1653385791.1512287,update,2
freqmine,1653385800.9603846,update,1-2-3
canneal,1653385800.997076,update,2-3
fft,1653385801.5767312,unpause,
fft,1653385812.0030625,pause,
freqmine,1653385812.0586774,update,2-3
canneal,1653385812.1108644,update,2
fft,1653385831.1548133,unpause,
freqmine,1653385831.204853,update,1-2-3
canneal,1653385831.2771173,update,2-3
fft,1653385841.0169055,pause,
freqmine,1653385841.6115186,update,2-3
canneal,1653385841.6593516,update,2
freqmine,1653385851.46503,update,1-2-3
canneal,1653385851.5049233,update,2-3
fft,1653385858.2073162,unpause,
fft,1653385858.9035552,pause,
freqmine,1653385871.3555198,update,2-3
canneal,1653385871.396152,update,2
fft,1653385881.1835573,unpause,
freqmine,1653385881.2386863,update,1-2-3
canneal,1653385881.3008685,update,2-3
fft,1653385888.969235,exit,
freqmine,1653385891.0672061,update,2-3
canneal,1653385891.1116054,update,2
freqmine,1653385911.044511,update,1-2-3
canneal,1653385911.1049178,update,2-3
freqmine,1653385941.575178,update,2-3
canneal,1653385941.6313543,update,2
freqmine,1653385951.353048,update,1-2-3
canneal,1653385951.3992343,update,2-3
freqmine,1653385971.811088,update,2-3
canneal,1653385971.855621,update,2
freqmine,1653385973.9487863,update,1-2-3
canneal,1653385974.0271254,update,2-3
freqmine,1653385978.671519,update,2-3
canneal,1653385978.7071543,update,2
freqmine,1653385982.8364701,update,1-2-3
canneal,1653385982.89748,update,2-3
freqmine,1653385983.9674275,update,2-3
canneal,1653385984.0106168,update,2
freqmine,1653385985.0970438,update,1-2-3
canneal,1653385985.1439214,update,2-3
freqmine,1653386001.4955173,update,2-3
canneal,1653386001.5399392,update,2
freqmine,1653386011.3124766,update,1-2-3
canneal,1653386011.364768,update,2-3
freqmine,1653386021.0554085,update,2-3
canneal,1653386021.1113157,update,2
freqmine,1653386031.3482058,update,1-2-3
canneal,1653386031.3888254,update,2-3
freqmine,1653386041.0790062,update,2-3
canneal,1653386041.1233752,update,2
freqmine,1653386061.5291295,update,1-2-3
