#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      634.6   767.5   173.5   233.7   258.8   531.6   666.6   749.6   816.0   893.6   990.6  1147.9  2783.2  8107.4 31189.2  35031.2    35000
read      694.8   972.7   173.5   242.2   272.8   586.3   726.9   804.1   860.5   929.4  1025.2  1196.6  2539.2 10311.5 35466.2  39886.2    40000
read      733.6   882.5   173.5   252.1   292.3   629.0   775.0   855.6   915.4   988.7  1087.9  1307.0  2849.7  9110.0 31748.3  45054.2    45000
read      823.3   882.8   173.5   270.2   326.7   723.0   880.0   956.9  1010.6  1082.7  1221.1  1637.2  3021.3  8620.5 32028.9  49738.6    50000
read     1158.1   926.6   187.4   664.7   774.4   979.7  1067.3  1162.6  1434.0  1688.2  1825.4  1975.4  2925.2 11979.4 32298.0  54825.8    55000
read     1150.4   839.6   173.5   758.8   806.9   953.5  1022.9  1122.2  1520.1  1689.6  1801.0  1924.6  2664.0 10235.8 31062.9  57475.6    60000
read     1176.7   919.5   202.4   782.2   822.4   965.9  1039.2  1134.2  1560.7  1725.8  1825.5  1951.2  2892.3 13325.0 31647.6  56932.8    65000
read     1176.2   771.1   187.4   802.5   840.1   988.2  1061.6  1135.9  1488.5  1758.2  1860.3  1986.1  2401.9  8653.4 30521.3  56555.6    70000
read     1235.8   988.3   173.5   832.0   880.4  1027.6  1095.4  1170.8  1434.8  1803.1  1935.8  2055.1  2815.0 12063.7 32014.7  54300.0    75000
read     1248.3   899.0   202.4   853.5   896.1  1047.8  1113.1  1178.6  1469.4  1849.7  1971.0  2104.7  2548.8 11738.5 31838.0  53646.6    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.40%,1.52%,100.00%
