#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      321.7   456.5    93.8   174.8   195.2   285.9   321.1   342.5   360.5   383.3   416.6   476.7   757.4  5682.1 22449.6   4935.6     5000  1651954402047  1651954407350
read      366.8   363.8    93.8   167.3   193.9   337.1   400.2   433.9   458.8   488.2   526.3   588.9   778.1  5272.5 13938.6  10040.6    10000  1651954408854  1651954414120
read      393.7   275.1    86.8   158.2   182.3   357.3   442.6   495.6   534.4   579.2   633.0   718.6   912.1  2714.6 12042.8  14950.2    15000  1651954415624  1651954420883
read      394.5   330.2    86.8   155.6   178.9   359.4   449.1   500.4   537.0   578.2   629.1   710.7   892.6  3260.5 12313.0  19780.8    20000  1651954422386  1651954427647
read      413.0   373.2    80.4   153.2   176.5   369.8   467.9   526.2   566.6   612.5   672.6   776.2  1039.3  3878.4 15323.8  24993.4    25000  1651954429151  1651954434406
read      403.6   255.9    80.4   151.4   173.4   353.5   460.6   527.6   574.8   627.3   693.4   803.3  1042.2  1490.2  8129.8  30062.2    30000  1651954435909  1651954441190
read      406.6   277.6    80.4   151.6   172.7   342.2   456.2   528.7   581.2   639.0   719.0   850.3  1136.0  2051.2  8196.9  34935.4    35000  1651954442695  1651954447947
read      425.2   355.5    80.4   149.6   171.1   339.5   462.2   539.7   601.3   679.1   791.7   976.9  1288.1  2699.9  9606.0  39926.6    40000  1651954449450  1651954454707
read      420.6   279.9    80.4   154.0   176.3   343.0   459.1   533.0   592.1   665.0   769.3   954.4  1297.4  1715.7  6423.5  44944.0    45000  1651954456210  1651954461466
read      397.8   303.0    80.4   146.6   166.0   305.9   418.6   494.9   562.0   642.7   757.7   950.5  1276.4  1897.6  7984.5  50105.2    50000  1651954462969  1651954468239
read      401.2   332.9    74.4   139.1   157.6   292.5   403.4   485.8   559.3   655.0   802.6  1043.7  1479.9  2307.4  8263.9  54850.5    55000  1651954469742  1651954475007
read      393.5   309.0    68.9   140.9   160.1   298.8   404.3   476.6   539.7   621.9   743.3   991.9  1452.8  1953.8  7532.3  60042.8    60000  1651954476510  1651954481759
read      401.7   319.2    74.4   144.5   164.7   306.3   409.5   479.7   539.1   621.8   750.4  1014.3  1538.4  2168.7  9095.7  65050.4    65000  1651954483262  1651954488512
read      391.6   344.2    74.4   141.1   160.8   294.6   395.6   462.5   518.3   597.5   725.5   997.6  1532.3  2324.3 10051.8  70137.0    70000  1651954490016  1651954495266
read      383.6   314.7    68.9   141.5   161.0   287.2   380.1   446.9   502.7   584.8   712.0   989.6  1540.8  2341.3  6865.2  75054.5    75000  1651954496771  1651954502022
read      391.6   325.7    68.9   142.7   162.4   291.6   385.1   449.2   504.0   588.7   737.6  1034.4  1637.4  2331.1  5942.1  79823.0    80000  1651954503527  1651954508771
read      378.6   310.5    74.4   143.4   162.9   286.0   375.8   437.2   488.8   567.3   687.4   968.6  1540.1  2254.7  6449.7  84761.4    85000  1651954510275  1651954515538
read      398.0   334.5    74.4   150.3   170.7   298.9   388.3   450.0   504.8   586.4   716.4  1027.0  1740.1  2631.7  5919.6  89987.6    90000  1651954517042  1651954522294
read      446.2   418.9    74.4   156.2   178.9   317.2   419.4   498.6   574.5   690.6   892.9  1184.0  2004.6  2995.7 10714.1  94875.6    95000  1651954523800  1651954529057
read      575.4   562.8    74.4   177.8   204.9   356.3   495.9   672.9   866.3  1100.4  1392.0  1642.1  2310.3  4188.8 12894.4  98805.0   100000  1651954530562  1651954535809
read      628.3   786.8    86.8   196.1   222.1   365.9   527.7   755.3   971.8  1233.3  1469.9  1690.2  2568.3  8713.4 30963.4 100924.8   105000  1651954537313  1651954542566
read      586.0   657.3    74.4   195.9   221.7   361.2   531.0   699.0   856.9  1053.0  1326.8  1597.4  2379.3  5950.8 28419.8 107358.0   110000  1651954544070  1651954549331
read      588.7   659.0    68.9   187.2   216.1   351.1   529.8   720.8   888.7  1084.2  1369.0  1613.8  2428.6  6246.0 21829.7 108608.7   115000  1651954550835  1651954556095
read      632.7   730.9    80.4   201.7   228.4   383.0   570.8   782.5   964.9  1192.0  1443.3  1666.4  2502.4  9150.8 26792.3 103516.2   120000  1651954557600  1651954562851
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 58.50%,0.00%,100.00%
