#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      326.5   368.9    93.8   173.5   194.5   288.4   325.2   347.3   367.2   391.9   425.9   490.9   818.2  5410.2 12523.4   4922.6     5000  1651954600747  1651954606050
read      352.2   293.6    93.8   165.4   189.8   331.4   390.1   421.7   443.8   469.3   505.5   563.2   736.0  4004.1 12000.5   9913.4    10000  1651954607554  1651954612834
read      375.6   249.9    86.8   158.9   183.3   350.3   426.1   466.1   496.0   530.1   572.1   637.1   823.6  3162.1  8337.7  14951.0    15000  1651954614338  1651954619623
read      382.2   295.9    80.4   153.7   177.4   352.2   434.7   481.9   516.5   553.4   600.5   674.2   848.4  4358.4 13245.3  20087.0    20000  1651954621127  1651954626382
read      404.7   261.2    80.4   155.0   178.1   366.7   464.4   525.6   567.1   615.2   678.1   777.7   986.4  1477.1  9200.2  25005.4    25000  1651954627886  1651954633133
read      400.7   274.3    86.8   152.0   174.4   354.4   455.5   519.3   563.5   612.4   678.2   789.9  1019.6  1618.0  9917.1  30154.6    30000  1651954634637  1651954639888
read      414.3   320.1    80.4   149.4   170.5   347.5   460.0   534.3   589.0   656.2   746.5   889.8  1156.5  1937.9  8055.0  34979.6    35000  1651954641392  1651954646633
read      414.3   290.1    80.4   149.3   169.8   334.2   451.2   526.8   588.5   668.7   774.4   948.9  1249.4  1726.5  8016.6  40033.4    40000  1651954648136  1651954653390
read      420.4   316.2    86.8   151.3   172.5   334.2   453.2   532.5   595.5   671.5   781.6   972.2  1329.5  1720.3 12957.6  44949.2    45000  1651954654893  1651954660143
read      406.0   342.6    80.4   146.4   166.4   310.5   426.2   503.9   571.7   651.8   775.3   980.0  1337.5  2014.6 10188.7  49861.6    50000  1651954661647  1651954666899
read      395.4   311.0    68.9   143.2   162.4   300.9   412.8   486.5   551.5   630.1   746.8   978.3  1382.6  1879.9  8462.6  55019.6    55000  1651954668402  1651954673674
read      393.8   308.1    68.9   141.2   160.4   296.6   400.0   469.2   530.9   616.5   754.3  1022.5  1458.4  2025.7  6653.8  60034.6    60000  1651954675178  1651954680416
read      380.0   314.1    74.4   138.1   156.6   287.2   384.1   449.9   506.4   586.5   709.8   969.9  1467.4  2014.1  8608.8  65115.2    65000  1651954681919  1651954687179
read      382.9   316.9    74.4   139.4   158.0   288.2   382.4   449.0   507.5   587.9   717.8   991.7  1507.2  2119.9  6227.4  69953.6    70000  1651954688682  1651954693930
read      379.3   305.4    74.4   140.2   159.5   288.9   380.9   445.0   500.7   578.9   698.6   953.7  1480.5  2184.8  7924.1  74994.4    75000  1651954695434  1651954700690
read      381.4   299.9    74.4   142.3   162.5   292.9   387.3   450.1   499.8   571.3   686.2   948.2  1514.7  2289.0  6302.7  79986.4    80000  1651954702194  1651954707437
read      366.4   297.3    74.4   141.1   161.0   288.6   375.7   431.8   478.2   543.5   637.0   865.2  1412.0  2002.9  9065.5  84955.0    85000  1651954708940  1651954714188
read      384.4   346.5    74.4   144.5   164.7   288.8   375.5   435.8   489.2   566.1   693.2   990.6  1623.1  2435.6  9696.5  90119.8    90000  1651954715691  1651954720946
read      440.3   405.9    68.9   150.8   173.9   312.2   410.2   486.5   561.9   678.3   884.0  1204.4  2003.7  2994.2  9677.2  95162.8    95000  1651954722450  1651954727702
read      432.3   392.3    74.4   154.0   176.6   313.5   408.3   483.7   552.9   659.8   840.0  1166.4  1826.6  2975.4 12041.1  99941.6   100000  1651954729206  1651954734455
read      596.9   694.9    74.4   187.6   213.7   367.9   526.4   705.4   882.5  1087.3  1357.2  1636.4  2542.5  6740.9 28284.3 101696.2   105000  1651954735958  1651954741221
read      633.1   778.4    86.8   208.7   233.7   380.2   572.8   776.3   947.4  1150.9  1421.8  1665.8  2548.9  9020.2 31073.1 103461.5   110000  1651954742725  1651954747991
read      666.2   777.4    80.4   195.2   218.3   373.7   519.1   837.5  1276.5  1445.7  1588.8  1765.6  2677.1  8327.7 27197.2  98657.0   115000  1651954749495  1651954754749
read      600.9   671.0    80.4   193.8   220.8   364.0   545.5   731.4   905.8  1103.4  1388.2  1614.4  2486.8  7207.4 21451.3 108172.6   120000  1651954756253  1651954761527
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.06%,1.00%,100.00%
