ubuntu@client-measure-t5dw:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.233 -a 10.156.15.232 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 —qps_seed 42
Random waveform, random seed
Total number of intervals = 180 (18414, 15106, 94128, 52081, 8518, 53635, 7287, 65072, 21961, 63410, 22613, 92600, 21544, 86104, 91857, 74468, 51206, 24059, 81343, 68281, 94431, 16363, 24955, 35485, 14065, 84695, 69790, 83218, 42166, 93999, 65828, 7237, 83203, 80597, 68225, 98147, 52915, 64464, 71871, 16237, 8591, 42944, 63594, 77148, 53316, 53184, 18933, 97566, 71047, 26364, 55788, 87098, 88849, 59060, 74349, 47143, 44721, 6727, 61787, 18048, 36956, 33823, 12389, 21127, 15911, 29959, 52912, 8243, 87525, 32424, 60485, 81292, 69104, 64082, 23012, 56999, 19005, 63452, 60527, 30948, 49478, 54688, 23199, 64074, 67199, 63846, 37571, 11525, 37245, 46367, 21352, 93588, 94213, 54443, 99460, 73341, 12703, 86277, 57296, 70829, 71239, 22061, 26703, 57680, 50595, 26712, 20185, 53550, 99266, 50118, 74046, 90554, 30326, 48464, 22034, 49975, 43347, 87230, 13093, 84323, 92035, 22941, 99682, 96971, 43679, 69257, 70662, 26460, 58710, 83374, 97959, 23640, 68020, 84425, 98511, 88421, 85257, 9387, 27434, 77756, 20424, 65860, 60945, 12717, 26767, 86419, 71260, 94668, 96053, 9400, 46220, 32240, 96175, 58211, 57737, 68388, 97053, 90004, 96114, 86705, 36094, 92024, 34035, 60558, 69775, 29747, 7574, 44710, 11467, 11079, 47562, 58743, 64407, 60045, 97025, 8383, 63777, 24575, 10177, 85980)
Average QPS expected = 54188
Timestamp start: 1653230415262
Timestamp end: 1653232215827

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      306.2   290.8    74.4   121.4   137.5   275.2   340.9   379.9   408.7   443.3   486.2   547.6   759.1  3034.2  9269.7  65775.0    65828
read      363.5   989.9    86.8   143.9   168.3   280.0   325.8   351.5   369.9   392.0   421.9   477.3  2212.9 13606.5 33912.7   7197.3     7237
read      306.5   318.9    74.4   121.4   136.9   266.7   332.7   372.0   401.7   438.3   484.6   556.0  1072.9  2948.6 10775.5  83154.2    83203
read      297.7   236.3    68.9   120.8   136.4   268.1   332.7   370.7   399.3   433.3   474.7   537.1   733.1  2964.4  7331.4  80741.5    80597
read      305.5   350.3    74.4   122.6   138.8   271.8   336.9   374.8   403.6   438.1   481.1   543.6   765.0  3467.0 12062.1  68416.3    68225
read      301.4   346.3    74.4   122.0   138.6   266.5   330.2   368.5   397.7   433.4   479.4   550.1   747.9  3495.4 14261.8  98076.5    98147
read      382.1   416.3    74.4   117.6   132.7   257.8   343.3   407.3   464.9   606.0   907.0  1175.7  1534.2  3586.0 10971.0  52872.4    52915
read      327.7   352.9    74.4   119.6   135.1   264.7   333.0   376.6   410.3   452.0   506.9   686.3  1478.6  3553.4 11568.3  64528.7    64464
read      306.4   259.3    74.4   121.3   137.4   277.3   343.2   382.7   412.0   447.3   490.7   555.3   744.8  2822.2  9078.9  71993.7    71871
read      367.4   734.4    80.4   120.8   137.5   301.2   376.8   423.6   455.3   491.3   539.5   617.8  1216.1  9380.7 31896.7  16293.7    16237
read      371.0  1086.4    80.4   138.2   162.2   281.7   334.3   362.9   382.7   404.4   434.8   491.4  2055.9 13378.1 37213.1   8573.6     8591
read      401.8   551.5    74.4   118.0   133.1   265.0   366.8   442.0   536.4   723.6   914.1  1098.4  1463.9  6240.5 15896.1  42966.4    42944
read      321.8   374.7    74.4   120.8   136.5   271.7   339.0   380.2   411.2   449.1   497.1   589.3  1426.2  3860.1 12423.2  63448.1    63594
