#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      308.0   318.6    93.8   179.2   200.1   278.9   309.0   328.5   344.3   366.1   400.3   465.6   643.3  5636.3 11543.8   4937.6     5000  1651955450935  1651955456242
read      329.9   217.1    93.8   177.5   202.9   315.4   353.7   373.3   390.1   409.1   438.7   502.4   688.8  3961.7  7534.2  10021.8    10000  1651955457746  1651955463034
read      346.7   225.2    93.8   173.2   199.3   338.9   381.7   402.7   420.0   438.7   469.4   537.9   713.3  1992.4  8684.3  14976.6    15000  1651955464538  1651955469810
read      341.6   226.6    93.8   165.1   189.7   333.5   380.9   404.3   422.7   443.4   471.7   533.8   720.4  2077.0  9140.2  20019.8    20000  1651955471313  1651955476566
read      334.8   184.0    86.8   160.7   183.8   328.5   378.6   402.5   421.3   442.3   470.3   528.2   702.9  1578.1  5867.8  25107.2    25000  1651955478069  1651955483334
read      344.6   176.7    80.4   160.4   184.5   336.4   390.5   417.8   436.5   461.1   495.3   556.7   764.3  1279.5  5979.5  30027.6    30000  1651955484839  1651955490118
read      345.8   184.1    86.8   160.9   184.0   333.6   390.4   419.3   439.0   465.2   500.2   563.9   796.4  1500.6  7184.3  35043.6    35000  1651955491623  1651955496875
read      338.8   162.9    80.4   158.6   181.4   328.4   387.3   416.5   436.8   461.5   494.2   548.8   717.4  1257.8  5549.5  39816.8    40000  1651955498379  1651955503630
read      351.4   194.2    86.8   163.3   189.1   345.2   398.6   425.9   445.3   467.7   499.8   551.7   731.3  1586.0  8821.7  44927.0    45000  1651955505134  1651955510379
read      346.1   181.8    80.4   154.7   178.1   334.4   396.8   427.4   449.3   473.9   507.9   570.4   771.5  1757.8  6169.9  49822.2    50000  1651955511883  1651955517144
read      335.5   182.4    80.4   155.5   179.1   325.9   382.0   410.4   431.4   456.8   489.6   543.2   698.0  1255.3  7682.3  55093.8    55000  1651955518648  1651955523899
read      335.2   181.5    74.4   151.7   175.4   325.5   382.3   409.7   430.4   455.5   488.5   543.6   718.2  1484.6  5823.5  59894.2    60000  1651955525402  1651955530651
read      336.6   187.3    74.4   149.9   173.2   324.1   384.1   413.8   434.9   460.7   494.9   550.1   738.7  1651.1  5674.3  64863.8    65000  1651955532154  1651955537403
read      316.4   160.6    74.4   147.2   168.2   301.5   359.8   389.7   411.0   436.8   469.7   525.6   681.9  1373.2  5244.0  70078.6    70000  1651955538907  1651955544165
read      318.4   173.6    74.4   148.0   169.7   302.7   361.7   392.1   413.9   439.7   473.1   531.1   681.7  1336.9  5824.9  74670.8    75000  1651955545668  1651955550930
read      313.4   202.8    74.4   145.6   166.7   296.7   353.1   382.0   402.7   429.4   462.8   518.5   674.7  1740.7  6181.6  79879.8    80000  1651955552434  1651955557699
read      309.1   163.7    74.4   144.1   165.1   293.0   348.2   377.4   399.2   426.6   461.4   518.6   677.1  1321.5  4872.1  84763.2    85000  1651955559202  1651955564475
read      314.2   167.8    68.9   143.6   165.5   299.8   355.4   384.4   404.6   431.8   466.9   528.7   687.7  1406.9  5285.4  90189.2    90000  1651955565978  1651955571257
read      317.8   182.9    74.4   147.8   170.2   299.6   354.1   383.6   404.2   431.3   467.8   531.1   701.1  1969.0  5715.0  94978.8    95000  1651955572760  1651955578029
read      304.1   164.9    74.4   145.4   166.1   290.3   341.5   368.6   388.9   413.4   447.6   502.6   653.9  1268.1  5078.7 100121.4   100000  1651955579532  1651955584787
read      310.8   183.5    74.4   149.5   171.9   297.7   347.2   373.1   393.4   417.5   449.7   503.7   659.2  1518.3  8799.5 105078.8   105000  1651955586291  1651955591551
read      303.8   154.0    74.4   146.6   168.8   292.9   341.2   366.9   385.9   408.2   439.4   494.3   637.6  1237.8  5348.3 109971.8   110000  1651955593056  1651955598318
read      288.0   126.5    74.4   145.7   166.3   279.1   321.8   344.2   361.3   381.3   409.3   456.9   580.8  1167.6  3951.2 114770.6   115000  1651955599821  1651955605087
read      307.8   156.9    80.4   153.4   176.9   295.6   341.7   366.9   385.9   408.3   440.4   496.6   647.9  1226.0  5052.9 120004.2   120000  1651955606590  1651955611847
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.24%,62.94%,100.00%
