#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      312.7   360.4   101.3   178.4   198.7   277.9   309.7   329.4   345.3   367.9   401.8   471.1   689.1  6561.9 11526.9   4927.0     5000  1651954921199  1651954926506
read      328.0   270.0    86.8   174.2   199.3   314.6   351.5   370.8   386.0   402.9   430.9   485.4   663.4  4590.3 13125.9   9967.2    10000  1651954928009  1651954933298
read      333.7   216.3    80.4   165.9   191.1   325.1   365.8   385.9   399.8   420.2   448.8   505.0   711.4  3821.1  7831.2  15064.6    15000  1651954934802  1651954940048
read      341.4   214.3    86.8   160.7   183.2   323.0   372.8   397.0   414.9   435.8   470.2   556.5  1008.0  2793.7  6283.7  19930.2    20000  1651954941552  1651954946801
read      344.3   211.0    74.4   159.2   183.1   333.3   386.2   411.3   430.0   453.7   486.0   548.2   829.0  2563.7  8464.6  25002.2    25000  1651954948307  1651954953573
read      359.0   215.9    80.4   161.7   187.0   343.9   398.7   426.9   447.6   471.5   509.3   592.5   947.5  2095.2  8146.3  29868.6    30000  1651954955077  1651954960322
read      365.0   275.0    80.4   160.7   187.1   350.8   403.5   431.6   452.6   477.0   515.3   595.9   980.9  2019.0 11447.5  34930.6    35000  1651954961827  1651954967082
read      346.7   182.4    80.4   158.4   182.8   337.2   393.5   422.2   442.3   465.9   499.7   560.6   792.7  1374.0  5941.3  40048.8    40000  1651954968585  1651954973834
read      343.1   240.5    74.4   157.4   181.6   331.7   387.0   414.3   433.8   459.1   493.1   551.4   749.5  1802.1  6407.4  44921.0    45000  1651954975338  1651954980584
read      352.4   182.1    80.4   160.1   187.8   348.2   399.8   426.8   446.4   468.8   500.7   551.4   737.9  1509.3  6382.4  49949.2    50000  1651954982087  1651954987339
read      337.6   181.1    80.4   158.5   182.1   328.0   383.3   410.6   430.9   455.2   485.5   535.8   708.0  1366.7  6929.7  54748.2    55000  1651954988842  1651954994091
read      338.0   185.9    80.4   154.3   178.5   328.2   384.1   411.9   432.8   458.7   492.4   546.7   731.7  1526.2  5499.3  59908.9    60000  1651954995595  1651955000857
read      330.2   179.1    80.4   150.2   172.4   318.3   376.7   405.4   427.8   454.5   489.2   545.3   728.9  1438.6  5030.2  65123.6    65000  1651955002361  1651955007615
read      318.9   169.1    74.4   145.2   165.5   301.7   363.0   394.9   418.1   445.3   480.0   539.9   720.8  1518.9  4686.3  69785.2    70000  1651955009118  1651955014359
read      317.1   169.9    74.4   145.0   165.4   299.8   360.2   391.7   414.5   441.9   478.0   537.4   710.0  1483.1  5155.8  74827.4    75000  1651955015862  1651955021118
read      315.0   185.9    74.4   144.4   164.8   297.5   356.8   387.7   409.9   436.9   473.1   533.7   694.7  1508.1  5804.3  80022.8    80000  1651955022623  1651955027862
read      309.7   167.1    74.4   143.7   164.2   292.9   349.8   380.3   401.6   429.3   464.1   520.5   670.7  1662.1  5178.7  85096.6    85000  1651955029365  1651955034613
read      307.5   166.6    68.9   143.0   162.5   289.2   347.2   378.5   400.7   429.0   465.6   524.9   677.9  1299.3  5456.5  89658.0    90000  1651955036116  1651955041364
read      316.4   182.7    80.4   146.1   167.3   297.8   355.7   387.0   409.2   436.8   474.6   537.5   713.1  1546.5  6051.6  94844.6    95000  1651955042867  1651955048147
read      293.1   166.8    74.4   143.1   162.1   276.1   325.9   353.7   374.0   400.1   435.3   492.4   634.6  1315.0  5465.5  99682.4   100000  1651955049651  1651955054901
read      300.6   162.7    74.4   142.4   161.9   280.2   335.6   365.9   388.4   415.9   453.6   516.7   686.5  1456.0  5412.2 104933.4   105000  1651955056404  1651955061658
read      301.8   201.7    74.4   144.5   164.4   285.0   338.2   365.7   385.8   409.7   444.3   500.7   652.5  1780.2  5438.9 109917.2   110000  1651955063162  1651955068415
read      300.1   148.8    74.4   147.9   168.8   286.5   334.7   360.7   379.4   402.7   435.0   489.9   634.3  1294.7  5164.5 115083.4   115000  1651955069919  1651955075169
read      308.4   178.7    74.4   148.7   169.6   293.1   345.3   372.4   392.9   417.6   451.7   508.1   670.5  1472.5  5878.1 119885.2   120000  1651955076672  1651955081950
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 65.15%,0.51%,100.00%
