workload,1,3,6,12
dedup,51.02,20.35,24.15,37.93
blackscholes,245.09,96.11,69.75,62.33
ferret,745.01,263.58,194.08,189.59
freqmine,483.33,165.86,112.80,107.32
canneal,315.09,179.00,143.32,139.49
fft,158.41,,,
