cat ~/1022latency.txt
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653380543680
Timestamp end: 1653382344118

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      308.3   353.1   101.3   167.0   188.5   286.9   323.6   343.3   358.4   374.6   398.0   434.8   579.9  4977.0 16796.0   4980.2     5031
read      414.2   549.7    86.8   133.7   149.4   267.6   358.1   444.4   549.6   744.8   959.4  1173.0  1564.8  5195.1 19514.6  54877.7    54838
read      323.9   314.9    86.8   137.1   152.7   281.2   350.6   391.0   421.2   457.9   505.1   591.0  1065.4  3413.2  9460.2  75039.4    74868
read      403.1   349.1    86.8   137.2   151.8   312.6   437.3   535.0   616.5   697.5   793.1   930.4  1148.6  2464.9 10066.3  29933.2    30015
read      428.0   553.1    86.8   138.4   153.3   288.0   408.9   509.5   630.6   760.2   903.7  1075.1  1387.7  6818.4 22889.8  40592.0    40743
read      391.7   358.9    86.8   138.9   154.4   335.2   446.0   521.7   574.4   629.4   692.7   790.3  1011.9  3029.3 12425.6  23586.4    23648
read      356.9   617.3    80.4   138.4   154.8   279.0   345.8   386.5   416.9   455.8   510.7   642.6  1631.4  9510.0 30538.8  97816.6    97712
read      401.0   399.5    86.8   133.1   149.1   272.7   366.6   444.6   526.8   700.1   911.9  1151.0  1481.9  3144.1 10860.0  53599.8    53672
read      419.3   437.4    86.8   134.3   150.7   279.7   375.0   461.2   564.3   745.6   973.1  1212.5  1586.4  3787.6 12168.7  55303.5    55395
read      404.5   410.2    86.8   137.2   152.2   312.0   442.6   543.3   614.1   687.0   779.5   908.2  1121.3  3796.8 12873.9  29437.9    29425
read      368.7   371.3    86.8   141.7   159.4   334.5   420.1   469.1   502.5   539.9   586.8   660.0   822.9  3394.0 14975.2  15161.0    15173
read      367.8   675.5    80.4   137.3   153.1   281.8   352.2   393.8   425.7   465.4   523.0   664.1  1699.0  9789.6 30846.3  82591.6    82475
read      299.7   291.5    86.8   134.3   149.3   262.6   326.1   363.8   391.9   426.4   469.9   538.8   769.6  3292.0 10104.9  90645.3    90555
read      437.3   676.9    86.8   133.4   149.3   284.7   395.0   486.7   610.2   777.4   941.0  1129.4  1536.1  7834.7 30890.2  47947.6    47944
read      419.7   389.3    86.8   138.0   152.7   330.5   470.0   580.8   663.4   737.7   811.3   909.0  1134.2  3899.2 12756.6  28329.7    28313
read      422.0   340.2    86.8   136.7   151.4   328.4   487.3   593.6   672.8   749.5   827.4   930.2  1152.7  2739.8 11807.8  28537.2    28504
read      393.3   293.3    86.8   138.0   152.8   335.1   462.0   543.5   596.3   647.1   706.1   788.3   960.1  2708.4 10857.5  22841.2    22886
read      395.5   362.7    86.8   135.6   149.9   281.9   424.6   523.0   616.7   711.2   807.3   933.6  1174.2  3072.7 11892.1  35832.2    35717
read      355.3   347.5    86.8   137.7   153.6   326.0   410.1   458.3   489.0   521.6   559.7   618.5   746.0  4030.0 12619.9  14855.6    14828
read      378.1   767.5    80.4   135.9   152.0   274.4   340.8   381.7   413.9   456.3   521.3   730.1  1810.1 10105.7 31550.2  81835.1    81704
read      374.8   413.0    86.8   131.8   147.3   263.7   344.2   409.6   468.4   577.1   803.6  1065.3  1447.1  3595.4 10868.8  55738.1    55771
read      305.4   346.8    86.8   132.3   146.9   259.5   321.3   359.7   388.8   425.0   472.7   559.7  1096.5  3205.6 14121.9  85200.4    85226
read      306.0   366.8    86.8   133.3   148.3   267.0   330.7   368.2   396.5   431.3   477.4   549.5   816.2  3435.3 16769.9  74866.5    75020
read      340.9   282.5    86.8   144.5   162.5   311.5   385.6   426.7   454.3   484.4   520.7   576.8   720.9  3907.6 11268.0  12461.3    12441
read      403.0   539.9    80.4   132.7   148.5   263.0   358.4   443.3   539.6   708.5   891.1  1099.8  1492.6  5331.1 19458.0  56152.3    56208
read      355.4   357.7    86.8   138.0   153.5   314.2   400.7   456.1   494.4   535.2   581.4   646.7   801.7  4239.2 12108.4  17439.0    17446
read      384.3   813.4    80.4   138.6   155.3   278.5   343.2   383.5   415.4   457.3   517.8   710.3  1814.0 10689.4 31636.7  87051.0    86943
read      400.0   473.1    86.8   133.1   149.2   271.0   371.1   457.2   548.4   708.0   874.7  1068.7  1412.0  4841.0 13934.5  49042.2    49138
read      390.9   350.2    86.8   133.1   149.4   269.0   376.6   465.4   564.7   702.2   851.3  1029.2  1341.2  3225.4  8432.7  49843.8    49839
read      417.7   653.1    86.8   132.8   148.6   269.2   377.5   469.6   577.5   719.6   875.2  1064.4  1501.7  7317.6 31088.2  47762.9    47752
read      380.1   382.0    86.8   135.3   149.7   304.7   423.3   508.4   572.2   634.6   707.0   804.6  1007.9  3992.6 11056.1  27104.2    27181
read      301.6   291.6   101.3   162.5   185.9   279.5   319.5   341.8   358.3   376.8   401.2   444.2   560.4  4078.8 11063.7   6093.4     6170
read      320.1   410.0   101.3   159.9   182.8   293.1   341.8   369.1   388.6   410.6   439.3   481.6   592.1  4616.0 18692.6   7202.7     7187
read      344.5   624.4    80.4   138.4   154.5   269.1   326.2   362.5   391.5   429.2   484.0   613.9  1605.0  9320.8 31195.7  99276.8    99387
read      295.7   274.7    86.8   135.1   150.1   260.0   319.6   356.2   383.7   417.2   461.9   533.5   757.6  2797.8  8580.4  91901.3    91970
