#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      311.5   601.3    93.8   177.0   196.7   274.8   303.4   319.8   335.8   356.0   387.9   463.0   702.7  5605.4 29032.9   4970.2     5000  1651955225112  1651955230406
read      326.2   427.6    86.8   170.6   194.7   307.8   344.1   364.2   378.4   397.7   426.3   481.0   664.2  4053.4 16255.6  10024.2    10000  1651955231911  1651955237190
read      328.9   151.0    86.8   166.5   192.5   325.3   368.2   389.6   403.3   423.7   450.0   499.4   641.5  1094.1  5696.6  15033.0    15000  1651955238695  1651955243967
read      345.0   186.3    86.8   165.5   191.2   342.4   388.0   410.4   427.1   448.0   476.8   536.6   715.9  1284.2  6720.2  19989.6    20000  1651955245473  1651955250730
read      346.5   196.4    86.8   162.6   187.1   340.8   393.5   418.7   435.6   459.0   489.7   544.1   732.0  1980.1  6410.6  24955.0    25000  1651955252234  1651955257497
read      344.5   254.3    80.4   157.9   180.2   331.9   392.7   422.0   442.3   466.5   499.8   558.7   735.4  1176.1 13483.0  30118.8    30000  1651955259000  1651955264254
read      350.5   176.8    86.8   161.6   186.5   344.7   399.5   427.6   447.9   470.5   504.6   566.8   736.9  1240.1  5334.4  34991.0    35000  1651955265757  1651955271011
read      349.9   246.1    80.4   160.2   184.2   339.0   399.2   427.7   447.9   470.6   504.3   560.6   733.5  1825.1  6959.1  39906.6    40000  1651955272514  1651955277763
read      351.3   255.0    80.4   157.8   183.4   344.8   399.7   427.5   447.4   469.6   502.4   559.8   737.1  1391.4 11827.8  44889.3    45000  1651955279266  1651955284511
read      340.8   166.6    80.4   159.4   183.6   332.3   389.5   418.0   437.0   460.9   491.6   543.3   709.8  1326.9  5332.3  50149.2    50000  1651955286015  1651955291270
read      335.1   184.7    80.4   156.0   179.5   323.5   380.2   407.6   428.5   453.8   486.4   538.8   715.8  1607.1  5920.5  55078.8    55000  1651955292774  1651955298042
read      329.2   189.9    80.4   152.9   175.1   314.5   372.2   401.6   424.0   450.4   485.5   544.1   707.9  1317.7  7794.6  60004.2    60000  1651955299547  1651955304818
read      325.7   173.7    74.4   149.5   171.0   311.4   370.3   400.0   422.2   448.2   482.2   539.3   720.4  1631.0  5426.3  64959.6    65000  1651955306323  1651955311574
read      322.7   222.0    68.9   145.2   166.7   304.0   365.5   396.4   418.9   445.9   481.9   540.4   724.3  1739.5  7660.9  69866.6    70000  1651955313078  1651955318331
read      321.9   176.1    74.4   146.8   167.6   303.4   363.9   395.4   418.4   446.2   484.2   544.4   726.9  1646.7  5827.5  75083.4    75000  1651955319835  1651955325090
read      320.4   172.8    74.4   145.6   166.9   303.9   363.5   394.5   417.1   444.0   481.0   540.7   720.4  1306.2  6463.5  79972.2    80000  1651955326594  1651955331846
read      308.9   162.6    74.4   142.8   163.6   292.2   347.8   378.1   399.2   425.6   460.4   516.6   688.0  1614.3  5146.0  84928.6    85000  1651955333349  1651955338610
read      305.8   163.7    74.4   141.9   161.5   287.1   345.4   376.3   398.6   425.6   461.4   521.2   675.2  1583.7  5337.2  89883.0    90000  1651955340113  1651955345357
read      296.5   181.0    80.4   144.8   164.5   282.1   330.3   356.6   375.4   400.1   433.0   487.2   635.2  1422.8  6988.4  94845.8    95000  1651955346860  1651955352100
read      310.0   141.9    74.4   147.7   170.3   298.4   349.8   376.4   395.7   419.7   452.5   505.5   664.5  1211.1  3996.6  99969.8   100000  1651955353603  1651955358858
read      307.5   144.7    80.4   150.5   172.7   294.8   342.9   369.0   388.5   411.6   444.5   499.7   670.7  1279.1  4426.9 105160.6   105000  1651955360361  1651955365635
read      305.7   156.3    74.4   149.0   169.7   291.2   341.3   368.4   388.4   412.1   445.0   501.4   657.0  1430.0  4356.6 110004.1   110000  1651955367138  1651955372398
read      305.9   140.2    80.4   152.0   174.0   294.0   342.1   367.4   386.2   407.9   439.2   494.4   635.3  1291.8  4155.1 114924.6   115000  1651955373902  1651955379151
read      295.0   145.5    74.4   146.9   167.4   283.2   329.4   354.3   371.7   394.0   424.1   473.9   616.4  1372.4  3874.0 119791.2   120000  1651955380655  1651955385896
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 66.67%,1.01%,100.00%
