./mcperf -s $INTERNAL_MEMCACHED_IP -a $INTERNAL_AGENT_IP --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (35287, 14271, 17436, 17944, 9097, 85796, 55519, 26960, 96739, 37774, 16784, 83654, 65716, 17738, 60163, 77793, 75230, 32487, 77751, 29790, 66212, 99080, 61398, 26830, 6307, 32240, 7014, 34981, 86450, 23868, 98736, 71027, 69859, 10493, 92190, 68413, 28603, 69419, 27655, 96461, 22299, 36522, 64955, 58585, 72605, 88493, 66523, 92988, 74931, 36924, 66209, 37236, 81627, 5143, 36388, 84707, 87836, 36596, 62538, 8871, 97186, 54990, 72123, 70002, 38050, 94543, 90995, 19905, 93746, 98345, 53655, 54249, 64278, 85068, 73946, 14648, 82863, 67170, 40386, 21485, 44464, 51924, 26130, 25075, 45091, 51757, 67885, 98774, 43672, 53944, 58303, 82888, 14873, 69860, 26181, 27187, 22496, 34221, 55733, 10542, 57923, 57133, 81637, 73069, 12065, 88379, 44586, 13031, 91756, 88647, 92108, 11489, 7482, 15539, 56120, 57047, 67434, 19395, 62743, 31213, 43760, 5620, 71182, 17054, 56625, 96615, 46634, 39101, 76118, 38068, 7249, 6613, 44539, 90938, 16042, 57651, 53770, 88066, 9256, 97336, 8272, 85858, 43144, 11333, 51041, 13028, 33019, 92532, 16291, 56538, 56819, 25051, 24150, 95318, 96042, 19394, 50382, 48720, 49605, 95072, 46925, 93393, 45534, 84652, 17871, 13507, 7521, 9834, 26357, 29287, 63571, 65694, 29484, 59329, 26675, 64106, 37346, 40681, 33287, 37717)
Average QPS expected = 50706
Timestamp start: 1653294620808
Timestamp end: 1653296421228

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      393.2   457.5    80.4   129.6   145.5   264.9   336.5   386.7   428.0   485.4   629.4  1452.4  2128.6  3544.7 10469.9  98620.4    98736
read      370.7   409.0    80.4   123.9   138.0   246.5   315.4   369.6   422.1   505.4   786.2  1280.9  1807.2  2848.5  9667.2  71255.1    71027
read      381.6   432.0    80.4   123.3   137.4   247.1   319.2   379.1   436.9   539.2   891.5  1311.9  1809.5  3272.0  9300.5  69860.9    69859
read      366.0   815.3    86.8   137.2   156.4   297.6   361.9   396.8   420.4   447.2   481.7   541.6  1586.3  9932.4 35285.4  10433.2    10493
read      384.6   503.1    80.4   127.9   142.9   254.0   321.8   372.4   417.8   485.3   680.9  1358.1  2114.8  4152.6 15528.0  91931.8    92190
read      377.3   444.9    80.4   124.1   138.0   248.7   320.3   377.9   431.4   513.1   814.6  1293.1  1817.2  3489.7 10883.5  68325.2    68413
read      388.9   499.1    80.4   125.9   140.6   280.4   407.7   503.4   592.3   682.1   779.2   873.4  1121.9  5461.6 25456.1  28568.9    28603
read      387.0   458.8    80.4   125.2   139.5   251.2   324.4   385.2   445.6   549.1   902.2  1318.9  1792.8  3276.0 12469.7  69456.7    69419
read      400.2   586.9    80.4   129.1   143.8   285.5   413.8   515.7   607.3   695.3   790.0   882.7  1151.2  6672.2 31001.7  27646.2    27655
read      385.5   482.8    80.4   128.5   144.1   262.8   333.3   384.7   427.1   483.6   599.8  1359.5  2237.4  3815.3 12464.1  96274.5    96461
read      404.5   736.2    86.8   128.7   143.1   302.2   412.2   494.0   558.3   626.4   701.7   814.0  1339.8  8978.6 31703.9  22321.9    22299
read      404.1   500.6    80.4   124.4   139.7   264.5   388.9   502.2   641.0   771.3   872.1   992.8  1289.4  5374.2 13808.2  36453.4    36522
