#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      302.9   414.7    86.8   169.9   189.6   271.7   304.3   323.4   338.5   357.4   386.0   445.8   668.0  5263.5  9894.3   4944.6     5000  1651956128637  1651956133946
read      324.9   189.0    93.8   163.6   186.3   312.8   362.0   387.1   404.1   427.0   457.3   507.0   662.8  2148.2  7001.3   9916.4    10000  1651956135453  1651956140715
read      358.4   223.5    86.8   165.7   190.7   342.9   408.5   441.0   462.8   488.2   520.5   576.6   724.8  2334.8  9810.8  14986.2    15000  1651956142219  1651956147493
read      380.6   240.6    86.8   169.2   196.3   359.9   433.5   470.0   496.1   527.0   567.1   629.0   796.1  3445.5  8530.8  19984.6    20000  1651956148999  1651956154252
read      392.4   296.4    80.4   170.1   199.5   375.5   445.3   480.4   506.0   539.3   580.4   644.5   802.5  3107.5 13784.7  24954.4    25000  1651956155757  1651956161030
read      377.8   262.7    80.4   163.4   188.9   350.7   429.4   473.8   507.5   543.9   587.6   650.1   794.8  2082.7 11380.6  29918.2    30000  1651956162533  1651956167790
read      399.0   220.8    80.4   165.9   195.9   383.5   457.5   497.4   527.5   563.8   610.4   681.1   848.8  1278.0  6831.9  34827.3    35000  1651956169293  1651956174538
read      404.0   235.9    80.4   165.2   193.9   384.4   464.0   506.8   540.3   580.0   627.5   698.5   863.3  1273.3  9968.0  40003.6    40000  1651956176041  1651956181290
read      384.7   190.5    80.4   161.8   189.0   364.0   442.3   486.6   518.6   556.4   603.7   671.7   801.4  1095.2  5151.2  45029.8    45000  1651956182793  1651956188060
read      384.6   243.8    80.4   156.4   183.4   360.5   438.7   482.2   514.7   555.4   606.2   678.8   837.7  1588.4  8467.2  49923.6    50000  1651956189563  1651956194823
read      385.0   206.6    68.9   156.8   184.8   365.2   443.6   483.8   513.9   551.1   601.6   676.1   836.1  1284.5  5819.3  54942.2    55000  1651956196326  1651956201610
read      386.6   203.4    80.4   155.1   181.6   361.3   444.0   489.4   523.2   564.2   618.0   694.7   876.8  1263.2  5764.1  59886.8    60000  1651956203113  1651956208364
read      377.5   220.4    68.9   153.0   179.9   352.4   429.9   473.0   504.7   545.1   597.9   678.4   856.9  1276.9  8454.0  65032.8    65000  1651956209868  1651956215122
read      393.0   242.7    80.4   155.4   183.0   364.4   447.4   493.2   528.0   570.9   626.8   713.0   911.3  1656.7  8794.6  69877.4    70000  1651956216626  1651956221884
read      385.6   207.5    74.4   160.1   188.4   360.2   438.7   482.5   515.3   555.5   609.7   688.8   865.1  1270.8  7018.1  74850.0    75000  1651956223388  1651956228646
read      385.5   212.4    74.4   162.1   191.6   361.2   438.3   481.6   514.1   553.4   604.1   680.6   848.0  1243.4  7634.1  80051.8    80000  1651956230149  1651956235406
read      377.8   207.1    80.4   162.9   191.9   356.5   430.1   469.8   499.4   535.8   583.0   654.2   812.6  1246.4  6750.5  85042.2    85000  1651956236909  1651956242149
read      377.8   204.3    74.4   162.6   191.4   353.7   426.6   468.3   499.5   537.7   588.3   665.8   841.7  1213.5  6993.4  89834.3    90000  1651956243652  1651956248895
read      383.5   207.3    80.4   174.0   204.4   362.7   430.5   469.0   498.4   534.6   581.7   655.5   825.0  1178.7  7074.5  94962.9    95000  1651956250398  1651956255639
read      421.4   214.6    80.4   199.1   233.5   397.6   466.8   506.6   538.3   576.9   629.2   722.9   927.1  1232.7  8093.4 100303.6   100000  1651956257143  1651956262390
read      467.6   222.3    80.4   227.5   265.8   441.8   514.6   558.6   592.1   635.6   693.7   794.4  1000.6  1310.3  7905.8 104896.6   105000  1651956263894  1651956269151
read      542.8   263.1    80.4   275.5   326.3   506.8   578.3   628.7   674.9   739.6   824.8   939.3  1099.6  1359.7  9108.6 108378.8   110000  1651956270654  1651956275903
read      623.6   295.3    86.8   354.4   401.1   566.1   648.3   726.7   791.0   864.5   950.5  1053.1  1200.4  1555.6 12734.2 104176.6   115000  1651956277406  1651956282655
read      631.5   284.1    86.8   362.1   410.4   572.1   647.0   722.4   793.3   876.3   971.0  1077.0  1236.7  1605.9 11127.5 103143.0   120000  1651956284158  1651956289423
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.75%,51.52%,100.00%
