fft,1653395205.7312272,create,
dedup,1653395205.7626836,create,
ferret,1653395205.7943923,create,
freqmine,1653395205.827793,create,
canneal,1653395205.8565924,create,
blackscholes,1653395205.8846085,create,
fft,1653395206.102644,start,
ferret,1653395206.3428912,start,
ferret,1653395206.3981297,update,1-2-3
fft,1653395210.5294378,pause,
ferret,1653395211.083307,update,2-3
ferret,1653395215.204178,update,1-2-3
fft,1653395215.754187,unpause,
fft,1653395230.4953523,pause,
fft,1653395235.105854,unpause,
fft,1653395250.3233113,pause,
ferret,1653395250.9083672,update,2-3
fft,1653395260.586031,unpause,
ferret,1653395260.640403,update,1-2-3
fft,1653395265.2645676,pause,
ferret,1653395265.8312845,update,2-3
ferret,1653395286.703003,update,1-2-3
fft,1653395290.2787821,unpause,
fft,1653395305.596451,pause,
ferret,1653395310.7171009,update,2-3
fft,1653395320.3750792,unpause,
ferret,1653395320.4258397,update,1-2-3
fft,1653395325.5178158,pause,
ferret,1653395326.0726278,update,2-3
ferret,1653395340.8453832,update,1-2-3
fft,1653395345.4818926,unpause,
fft,1653395348.0592778,pause,
fft,1653395348.6024837,unpause,
fft,1653395355.2234187,pause,
ferret,1653395355.7763288,update,2-3
ferret,1653395362.4723046,update,1-2-3
ferret,1653395366.5753655,update,2-3
ferret,1653395375.2644324,update,1-2-3
ferret,1653395380.3947482,update,2-3
fft,1653395385.499542,unpause,
ferret,1653395385.5481465,update,1-2-3
fft,1653395390.6888313,pause,
ferret,1653395391.251044,update,2-3
ferret,1653395400.4641538,update,1-2-3
fft,1653395403.5607793,unpause,
fft,1653395404.123911,pause,
ferret,1653395405.6948736,update,2-3
ferret,1653395410.3360796,update,1-2-3
fft,1653395410.9071596,unpause,
fft,1653395415.4999986,pause,
ferret,1653395420.6391933,update,2-3
ferret,1653395425.2762926,update,1-2-3
fft,1653395425.8556771,unpause,
fft,1653395440.6281261,pause,
ferret,1653395444.2388031,update,2-3
ferret,1653395445.3199286,update,1-2-3
fft,1653395445.8744655,unpause,
fft,1653395450.9956634,pause,
fft,1653395453.1347349,unpause,
fft,1653395454.1988413,pause,
ferret,1653395455.7875586,update,2-3
fft,1653395475.5589256,unpause,
ferret,1653395475.6204798,update,1-2-3
fft,1653395500.592052,pause,
ferret,1653395501.1509452,update,2-3
ferret,1653395505.796716,update,1-2-3
fft,1653395506.3631144,unpause,
fft,1653395515.5287378,pause,
ferret,1653395516.166649,update,2-3
ferret,1653395520.800292,update,1-2-3
ferret,1653395525.4028451,update,2-3
ferret,1653395535.6159434,update,1-2-3
ferret,1653395540.2511678,update,2-3
fft,1653395545.382596,unpause,
ferret,1653395545.4485953,update,1-2-3
fft,1653395550.5927444,pause,
ferret,1653395551.139247,update,2-3
ferret,1653395560.3468628,update,1-2-3
fft,1653395560.8915877,unpause,
fft,1653395565.5156097,pause,
ferret,1653395566.0585039,update,2-3
ferret,1653395570.6802309,update,1-2-3
ferret,1653395575.7865047,update,2-3
ferret,1653395605.2870216,update,1-2-3
fft,1653395605.8352025,unpause,
fft,1653395610.4719846,pause,
ferret,1653395611.0850172,update,2-3
