#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      315.9   572.1   101.3   172.2   191.7   275.3   307.5   326.4   341.9   362.6   393.8   463.8   766.4  6686.2 29763.7   4945.0     5000  1651955940183  1651955945458
read      336.2   225.1    86.8   168.4   190.2   318.9   374.8   403.1   422.9   445.5   475.6   530.6   678.7  2372.7  9141.5  10007.0    10000  1651955946963  1651955952251
read      362.3   364.1    86.8   167.0   191.0   341.4   408.8   442.8   466.0   494.6   531.0   587.7   732.0  2950.6 14737.8  14932.0    15000  1651955953754  1651955959027
read      370.5   228.6    86.8   165.4   191.4   344.7   419.0   459.6   488.4   522.0   563.1   624.7   769.7  3142.6  8152.9  19873.6    20000  1651955960530  1651955965798
read      382.6   215.6    86.8   168.0   195.8   360.1   436.1   477.6   506.5   541.3   584.0   644.4   795.2  2628.9  6899.8  24907.8    25000  1651955967302  1651955972573
read      388.9   284.1    80.4   163.6   190.3   361.1   440.3   484.6   517.4   555.6   601.7   668.1   828.6  2777.9 11252.6  29975.2    30000  1651955974076  1651955979331
read      383.9   226.3    86.8   161.2   187.1   356.6   434.9   482.1   517.6   557.1   605.8   676.4   831.6  1638.0  7882.7  34850.8    35000  1651955980833  1651955986091
read      400.5   203.9    80.4   166.5   196.1   380.5   459.1   503.0   535.9   574.5   621.5   688.9   856.7  1473.9  6077.0  40026.2    40000  1651955987595  1651955992857
read      388.8   230.0    80.4   160.3   187.4   365.8   444.2   488.5   521.5   561.4   610.9   680.8   834.6  1806.9  6295.7  44765.2    45000  1651955994360  1651955999602
read      399.7   231.3    80.4   163.2   192.4   378.6   457.2   501.2   535.0   574.8   624.1   694.6   857.2  1440.0  7894.8  49780.8    50000  1651956001105  1651956006366
read      393.2   223.7    80.4   161.8   189.8   373.2   449.6   492.2   525.3   565.1   614.8   687.9   848.6  1290.7  6447.5  54965.2    55000  1651956007869  1651956013147
read      394.3   213.8    80.4   154.7   181.9   369.3   452.5   498.9   534.9   577.5   630.5   712.0   900.1  1512.3  6119.6  59990.4    60000  1651956014650  1651956019911
read      383.7   214.2    74.4   155.7   183.1   356.8   436.9   482.8   517.8   560.1   613.5   692.8   859.4  1233.6  7764.2  64976.0    65000  1651956021414  1651956026668
read      370.8   200.5    74.4   151.5   177.0   344.3   420.2   463.8   497.9   540.2   594.5   679.6   857.6  1160.5  5928.2  69922.6    70000  1651956028171  1651956033434
read      384.7   223.9    68.9   157.1   184.5   356.6   436.8   482.6   516.3   559.7   614.6   695.0   869.6  1334.4  8372.6  74981.0    75000  1651956034937  1651956040192
read      387.4   210.1    74.4   163.9   193.2   360.4   437.2   482.2   516.1   557.8   611.8   690.7   860.8  1225.6  6428.4  80052.4    80000  1651956041696  1651956046954
read      378.9   205.7    80.4   164.5   194.3   357.2   423.3   462.1   493.9   533.7   584.7   668.7   850.2  1281.0  6692.6  84835.8    85000  1651956048457  1651956053718
read      377.4   186.6    80.4   165.4   195.1   356.1   425.1   462.8   490.9   526.7   578.7   662.5   848.9  1232.8  5871.6  90004.4    90000  1651956055221  1651956060487
read      383.2   203.5    74.4   176.8   207.4   364.0   430.3   467.1   495.1   528.3   573.7   652.5   817.6  1085.7  6854.1  94958.8    95000  1651956061990  1651956067250
read      384.8   193.4    80.4   180.9   212.4   365.2   429.8   466.4   495.3   530.1   576.2   647.5   817.3  1159.2  6275.1 100106.2   100000  1651956068754  1651956073997
read      504.5   238.8    86.8   246.6   288.4   473.1   545.8   591.6   631.7   685.9   765.6   885.3  1084.5  1457.0  7669.6 104903.0   105000  1651956075500  1651956080746
read      484.5   218.3    80.4   241.1   280.7   458.2   532.3   577.9   613.3   657.8   719.6   815.4  1012.8  1298.8  8033.0 109875.4   110000  1651956082249  1651956087506
read      553.6   260.2    93.8   295.1   337.6   509.0   590.8   649.0   698.3   758.6   834.2   939.9  1154.4  1704.6 10108.0 112199.8   115000  1651956089009  1651956094253
read      575.2   261.6   101.3   321.5   362.4   528.2   610.6   677.8   730.2   790.8   865.4   967.3  1118.5  1429.6  9875.1 111941.6   120000  1651956095758  1651956101009
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.58%,55.84%,100.00%
